都道府県名,陽性者数 検査人数,,%
北海道,1681,38536,4.4%
青森,33,1870,1.8%
岩手,11,2467,0.4%
宮城,191,7379,2.6%
秋田,45,1652,2.7%
山形,77,3041,2.5%
福島,124,12969,1.0%
茨城,498,9791,5.1%
栃木,288,19922,1.4%
群馬,374,11874,3.1%
埼玉,3531,97014,3.6%
千葉,2738,49257,5.6%
東京,19121,284343,6.7%
神奈川,4370,100213,4.4%
新潟,138,11719,1.2%
富山,338,6984,4.8%
石川,550,6344,8.7%
福井,161,6318,2.5%
山梨,162,9028,1.8%
長野,169,11944,1.4%
岐阜,538,16638,3.2%
静岡,433,21516,2.0%
愛知,4068,43307,9.4%
三重,331,8367,4.0%
滋賀,384,7677,5.0%
京都,1243,26619,4.7%
大阪,7720,118261,6.5%
兵庫,2072,39318,5.3%
奈良,482,12714,3.8%
和歌山,225,8027,2.8%
鳥取,22,4447,0.5%
島根,134,4538,3.0%
岡山,135,5880,2.3%
広島,448,16687,2.7%
山口,107,5660,1.9%
徳島,104,4796,2.2%
香川,71,7095,1.0%
愛媛,113,3668,3.1%
高知,107,2722,3.9%
福岡,3987,36994,10.8%
佐賀,218,4425,4.9%
長崎,193,12264,1.6%
熊本,466,10001,4.7%
大分,138,10876,1.3%
宮崎,309,7335,4.2%
鹿児島,340,14082,2.4%
沖縄,1864,20747,9.0%
長崎船,149,0,-
合計,61001,1167326,5.2%
