都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1024,11648,259,17,687,78
青   森,27,810,2,0,24,1
岩    手,0,598,0,0,0,0
宮    城,88,2684,1,0,86,1
秋  田,16,920,0,0,16,0
山    形,69,2606,5,1,64,0
福    島,81,3682,12,0,69,0
茨    城,168,4469,17,0,142,9
栃    木,64,3336,15,5,46,0
群    馬,149,3396,25,1,105,19
埼    玉,998,18101,110,6,842,46
千    葉,904,13586,108,6,752,44
東    京,5136,14653,670,42,4189,263
神 奈 川,1322,8780,286,30,965,71
新    潟,83,3994,13,0,69,0
富    山,227,3067,35,0,171,21
石    川,294,2579,69,3,201,24
福    井,122,2430,7,2,107,8
山    梨,60,3602,4,1,56,0
⾧    野,76,2552,16,1,60,-
岐    阜,150,3173,5,1,138,7
静    岡,74,3369,3,1,70,1
愛    知,506,9525,30,0,437,34
三    重,45,2422,5,0,39,1
滋    賀,99,1686,15,1,83,1
京    都,358,7493,35,3,309,14
大    阪,1780,27552,294,30,1399,76
兵    庫,699,10537,56,12,605,38
奈    良,91,2754,7,0,82,2
和 歌 山,63,3602,6,0,54,3
鳥    取,3,1288,1,0,2,0
島    根,24,1078,4,1,20,0
岡    山,25,1621,0,-,25,-
広    島,167,6696,24,1,141,2
山    口,37,1653,3,1,34,0
徳    島,5,699,0,0,4,1
香    川,28,2065,1,0,27,0
愛    媛,78,1824,29,0,45,4
高    知,74,1732,2,0,69,3
福    岡,658,11715,47,5,586,25
佐    賀,47,1372,13,0,32,0
⾧    崎,17,2645,0,0,16,1
熊    本,48,3820,10,0,35,3
大    分,60,3801,2,0,57,1
宮    崎,17,1339,3,0,14,0
鹿 児 島,10,1685,1,0,9,0
沖    縄,142,2806,6,3,132,6
(その他),149,-,37,-,112,-
合計,16362,227445,2293,174,13227,808
