都道府県名,陽性者数 検査人数,,%
北海道,2159,59459,3.6%
青森,37,2458,1.5%
,23,4282,0.5%
宮城,425,10803,3.9%
秋田,58,2145,2.7%
山形,78,5195,1.5%
福島,267,21106,1.3%
茨城,676,12623,5.4%
栃木,437,31518,1.4%
群馬,728,22851,3.2%
埼玉,4800,145670,3.3%
千葉,4047,96680,4.2%
東京,26484,470228,5.6%
神奈川,7136,156859,4.5%
新潟,170,15659,1.1%
富山,422,12509,3.4%
石川,777,13530,5.7%
福井,244,9872,2.5%
山梨,193,10748,1.8%
長野,313,19157,1.6%
岐阜,630,23270,2.7%
静岡,551,34985,1.6%
,5419,79108,6.9%
三重,527,13267,4.0%
滋賀,505,12148,4.2%
京都,1767,43228,4.1%
大阪,10809,190440,5.7%
,2783,58020,4.8%
奈良,581,20885,2.8%
和歌山,242,9372,2.6%
鳥取,36,5493,0.7%
島根,140,5820,2.4%
岡山,158,8110,1.9%
広島,603,21121,2.9%
山口,201,10079,2.0%
徳島,149,6980,2.1%
香川,93,10931,0.9%
愛媛,115,4119,2.8%
高知,138,3508,3.9%
,5054,135726,3.7%
佐賀,246,6156,4.0%
長崎,238,18928,1.3%
熊本,607,16764,3.6%
大分,158,17315,0.9%
宮崎,344,8601,4.0%
鹿児島,428,19261,2.2%
沖縄,2588,40691,6.4%
長崎船,149,0,-
合計,84733,1947678,4.4%
