都道府県名,陽性者数 検査人数,,%
北海道,11650,200304,5.8%
青森,383,8413,4.6%
岩手,318,12356,2.6%
宮城,1596,22399,7.1%
秋田,94,3873,2.4%
山形,290,9361,3.1%
福島,658,46923,1.4%
茨城,2053,18048,11.4%
栃木,938,63079,1.5%
群馬,1771,45427,3.9%
埼玉,10894,272701,4.0%
千葉,8511,193565,4.4%
東京,48668,876634,5.6%
神奈川,15684,293582,5.3%
新潟,418,25175,1.7%
富山,477,19490,2.4%
石川,930,25853,3.6%
福井,337,17138,2.0%
山梨,459,14215,3.2%
長野,1006,39493,2.5%
岐阜,1585,53111,3.0%
静岡,2253,71412,3.2%
愛知,13035,165720,7.9%
三重,1103,24205,4.6%
滋賀,886,32086,2.8%
京都,3378,77767,4.3%
大阪,25816,395030,6.5%
兵庫,7547,116713,6.5%
奈良,1554,40843,3.8%
和歌山,568,15447,3.7%
鳥取,68,20641,0.3%
島根,170,7659,2.2%
岡山,858,24136,3.6%
広島,1808,51951,3.5%
山口,441,22347,2.0%
徳島,188,14029,1.3%
香川,205,19968,1.0%
愛媛,370,9820,3.8%
高知,432,5022,8.6%
福岡,6890,231582,3.0%
佐賀,398,12611,3.2%
長崎,338,31230,1.1%
熊本,1329,28851,4.6%
大分,543,35449,1.5%
宮崎,622,11400,5.5%
鹿児島,837,32950,2.5%
沖縄,4880,81311,6.0%
長崎船,149,0,-
合計,185386,3841320,4.8%
