都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1176,17875,126,10,959,91
青   森,27,922,0,0,26,1
岩    手,0,799,0,0,0,0
宮    城,88,3333,0,0,87,1
秋  田,16,968,0,0,16,0
山    形,69,2482,1,1,68,0
福    島,81,5699,2,0,79,0
茨    城,168,5053,3,0,155,10
栃    木,66,5523,1,0,65,0
群    馬,151,4420,3,0,129,19
埼    玉,1022,28059,20,4,950,52
千    葉,919,16716,24,3,850,45
東    京,5619,16351,367,22,4936,316
神 奈 川,1413,11489,73,13,1249,91
新    潟,83,4627,1,0,81,0
富    山,227,3722,2,0,203,22
石    川,299,2847,29,2,243,27
福    井,122,3062,0,0,114,8
山    梨,71,4968,2,0,68,1
長    野,76,3026,1,0,75,-
岐    阜,154,4317,4,2,143,7
静    岡,78,3698,4,0,73,1
愛    知,516,11375,9,0,468,34
三    重,45,2668,0,0,44,1
滋    賀,100,2099,1,1,98,1
京    都,360,9200,3,0,339,18
大    阪,1787,35807,26,8,1675,86
兵    庫,699,11974,3,0,653,43
奈    良,92,3240,0,0,90,2
和 歌 山,63,3859,0,0,60,3
鳥    取,3,1429,0,0,3,0
島    根,24,1202,1,1,23,0
岡    山,25,1836,0,-,25,-
広    島,168,7484,0,0,165,3
山    口,37,1965,1,1,36,0
徳    島,5,827,0,0,4,1
香    川,28,2386,0,0,28,0
愛    媛,82,2532,5,0,73,4
高    知,74,1893,0,0,71,3
福    岡,826,15045,46,2,752,28
佐    賀,47,1568,0,0,47,0
長    崎,17,3044,0,0,16,1
熊    本,48,4130,0,0,45,3
大    分,60,4462,0,0,59,1
宮    崎,17,1487,0,0,17,0
鹿 児 島,11,2305,1,0,10,0
沖    縄,142,2966,0,0,139,7
(その他),149,-,1,-,148,-
合計,17350,286739,760,70,15657,931
