都道府県名,陽性者数 検査人数,,%
北海道,1176,17875,6.6%
青森,27,922,2.9%
岩手,0,799,0.0%
宮城,88,3333,2.6%
秋田,16,968,1.7%
山形,69,2482,2.8%
福島,81,5699,1.4%
茨城,168,5053,3.3%
栃木,66,5523,1.2%
群馬,151,4420,3.4%
埼玉,1022,28059,3.6%
千葉,919,16716,5.5%
東京,5619,16351,34.4%
神奈川,1413,11489,12.3%
新潟,83,4627,1.8%
富山,227,3722,6.1%
石川,299,2847,10.5%
福井,122,3062,4.0%
山梨,71,4968,1.4%
長野,76,3026,2.5%
岐阜,154,4317,3.6%
静岡,78,3698,2.1%
愛知,516,11375,4.5%
三重,45,2668,1.7%
滋賀,100,2099,4.8%
京都,360,9200,3.9%
大阪,1787,35807,5.0%
兵庫,699,11974,5.8%
奈良,92,3240,2.8%
和歌山,63,3859,1.6%
鳥取,3,1429,0.2%
島根,24,1202,2.0%
岡山,25,1836,1.4%
広島,168,7484,2.2%
山口,37,1965,1.9%
徳島,5,827,0.6%
香川,28,2386,1.2%
愛媛,82,2532,3.2%
高知,74,1893,3.9%
福岡,826,15045,5.5%
佐賀,47,1568,3.0%
長崎,17,3044,0.6%
熊本,48,4130,1.2%
大分,60,4462,1.3%
宮崎,17,1487,1.1%
鹿児島,11,2305,0.5%
沖縄,142,2966,4.8%
長崎船,149,-,-
合計,17350,286739,6.1%
