都道府県名,陽性者数,検査人数,%,備考
北海道,226,2488,9.1%,4/8時点
青森県,14,278,5.0%,
岩手県,0,127,0.0%,
宮城県,36,558,6.5%,
秋田県,11,484,2.3%,
山形県,27,663,4.1%,4/8時点
福島県,33,482,6.8%,
茨城県,81,2140,3.8%,
栃木県,31,871,3.6%,
群馬県,33,1466,2.3%,
埼玉県,271,1934,14.0%,HP
千葉県,342,1500,22.8%,
東京都,1528,4992,30.6%,4/8時点
神奈川県,375,2203,17.0%,4/8時点
新潟県,39,1443,2.7%,
富山県,16,602,2.7%,
石川県,72,494,14.6%,
福井県,72,455,15.8%,
山梨県,24,946,2.5%,
長野県,21,841,2.5%,
岐阜県,76,1110,6.8%,
静岡県,16,1389,1.2%,
愛知県,299,3467,8.6%,4/8時点
三重県,15,861,1.7%,
滋賀県,26,453,5.7%,
京都府,159,1867,8.5%,
大阪府,589,1792,32.9%,4/8時点
兵庫県,273,3496,7.8%,
奈良県,34,509,6.7%,
和歌山県,32,1756,1.8%,4/8時点
鳥取県,0,277,0.0%,
島根県,1,191,0.5%,
岡山県,16,564,2.8%,
広島県,25,1638,1.5%,
山口県,17,528,3.2%,
徳島県,3,217,1.4%,
香川県,3,441,0.7%,
愛媛県,26,485,5.4%,
高知県,47,709,6.6%,
福岡県,187,3873,4.8%,
佐賀県,11,334,3.3%,
長崎県,14,880,1.6%,
熊本県,23,1639,1.4%,
大分県,41,2035,2.0%,
宮崎県,16,545,2.9%,
鹿児島県,3,483,0.6%,
沖縄県,42,619,6.8%,
合計,5246,57125,9.2%,
