都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,19663,402044,659,4,18276,697
青森,828,20921,24,0,784,20
岩手,555,28922,1,0,524,30
宮城,3864,72937,228,5,3611,25
秋田,269,7148,1,0,262,6
山形,545,28715,8,0,522,15
福島,2144,122442,233,10,1823,88
茨城,6071,25125,313,6,5638,120
栃木,4207,153093,118,1,4021,68
群馬,4633,99884,146,3,4399,88
埼玉,30363,580553,1409,42,28314,640
千葉,27497,428990,1165,20,25837,495
東京,114201,1606728,2651,39,110032,1518
神奈川,45957,627829,968,29,44267,722
新潟,1152,46600,76,2,1060,16
富山,909,38049,9,1,872,28
石川,1879,54568,47,5,1776,62
福井,546,33111,2,0,519,25
山梨,941,27101,2,0,922,17
長野,2385,103396,21,0,2354,41
岐阜,4785,143923,99,9,4571,115
静岡,5331,213619,201,1,5030,100
愛知,26207,413941,515,26,25147,545
三重,2579,67122,88,4,2509,61
滋賀,2612,77218,178,6,2386,48
京都,9129,161936,156,2,8825,163
大阪,47895,850570,913,62,45425,1144
兵庫,18235,262382,349,34,17325,561
奈良,3427,86288,78,8,3301,48
和歌山,1170,24856,8,1,1120,18
鳥取,210,43168,1,0,204,2
島根,284,16183,1,0,283,0
岡山,2552,69524,44,1,2419,33
広島,5056,167186,37,3,4916,103
山口,1389,62904,26,0,1321,42
徳島,461,27954,20,2,424,17
香川,765,46483,18,0,729,18
愛媛,1068,34029,21,1,1023,24
高知,905,7180,20,3,866,19
福岡,18308,464164,388,16,17614,306
佐賀,1126,29265,76,1,1059,10
長崎,1613,70498,4,0,1572,37
熊本,3467,57158,27,2,3365,73
大分,1297,84123,9,0,1266,22
宮崎,1953,24803,9,1,1915,21
鹿児島,1762,69200,12,2,1750,27
沖縄,8378,151156,269,2,7993,122
(その他),149,-,0,-,149,-
合計,440722,8234989,11648,354,420320,8400
