都道府県名,陽性者数 検査人数,,%
北海道,14997,263853,5.7%
青森,569,11295,5.0%
岩手,434,15881,2.7%
宮城,2663,26684,10.0%
秋田,176,5141,3.4%
山形,435,11313,3.8%
福島,1276,65886,1.9%
茨城,3277,20147,16.3%
栃木,2699,83003,3.3%
群馬,2948,60650,4.9%
埼玉,18435,360741,5.1%
千葉,14973,251064,6.0%
東京,77133,1108973,7.0%
神奈川,28941,394794,7.3%
新潟,697,31404,2.2%
富山,729,24346,3.0%
石川,1239,33404,3.7%
福井,399,21414,1.9%
山梨,754,14741,5.1%
⾧野,1733,59649,2.9%
岐阜,3122,77826,4.0%
静岡,3427,106902,3.2%
愛知,19616,232728,8.4%
三重,1611,32398,5.0%
滋賀,1594,43691,3.6%
京都,6079,105473,5.8%
大阪,35306,525287,6.7%
兵庫,12240,159971,7.7%
奈良,2416,55725,4.3%
和歌山,786,17926,4.4%
鳥取,165,28173,0.6%
島根,227,10183,2.2%
岡山,1892,35839,5.3%
広島,4127,94467,4.4%
山口,729,32146,2.3%
徳島,265,16695,1.6%
香川,447,29422,1.5%
愛媛,721,16239,4.4%
高知,740,6179,12.0%
福岡,11558,293925,3.9%
佐賀,640,17108,3.7%
⾧崎,1056,45608,2.3%
熊本,2429,40894,5.9%
大分,852,49653,1.7%
宮崎,1340,17590,7.6%
鹿児島,1260,45378,2.8%
沖縄,5971,96914,6.2%
⾧崎船,149,0,-
合計,295272,5098723,5.8%
