都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,14997,263853,1574,12,12895,514
青森,569,11295,70,2,491,8
岩手,434,15881,65,2,344,25
宮城,2663,26684,485,9,2161,17
秋田,176,5141,28,0,147,1
山形,435,11313,61,3,364,10
福島,1276,65886,355,9,891,30
茨城,3277,20147,749,9,2488,40
栃木,2699,83003,1313,16,1386,16
群馬,2948,60650,551,12,2303,54
埼玉,18435,360741,4925,67,13260,250
千葉,14973,251064,4667,31,10163,143
東京,77133,1108973,19029,144,57413,691
神奈川,28941,394794,6021,93,22601,319
新潟,697,31404,162,0,535,3
富山,729,24346,162,3,541,26
石川,1239,33404,189,7,1023,52
福井,399,21414,39,1,347,12
山梨,754,14741,155,4,588,11
⾧野,1733,59649,459,9,1237,18
岐阜,3122,77826,703,16,2372,47
静岡,3427,106902,851,8,2523,53
愛知,19616,232728,3323,49,16014,279
三重,1611,32398,308,4,1281,22
滋賀,1594,43691,408,13,1170,16
京都,6079,105473,1453,16,4604,76
大阪,35306,525287,5850,171,28766,690
兵庫,12240,159971,1489,74,10477,274
奈良,2416,55725,385,9,2001,30
和歌山,786,17926,121,6,646,8
鳥取,165,28173,63,2,97,2
島根,227,10183,20,1,207,0
岡山,1892,35839,327,9,1241,15
広島,4127,94467,687,16,3152,58
山口,729,32146,149,2,572,4
徳島,265,16695,67,0,189,9
香川,447,29422,163,2,280,4
愛媛,721,16239,252,3,456,13
高知,740,6179,72,4,656,12
福岡,11558,293925,3037,19,8391,130
佐賀,640,17108,169,1,478,3
⾧崎,1056,45608,272,9,628,8
熊本,2429,40894,246,17,1767,34
大分,852,49653,156,4,687,9
宮崎,1340,17590,504,4,836,10
鹿児島,1260,45378,248,2,1012,14
沖縄,5971,96914,548,6,5344,84
(その他),149,-,0,-,149,-
合計,295272,5098723,62930,900,227174,4144
