都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2460,68209,187,1,2166,107
青 森,83,2975,46,1,36,1
岩手,26,4874,3,0,23,0
宮城,508,12111,43,1,463,2
秋  田,59,2361,1,0,58,0
山形,81,5335,2,0,78,1
福島,343,24370,78,2,259,6
茨城,723,13174,32,4,673,18
栃木,458,34074,19,0,437,1
群馬,766,26175,35,4,712,19
埼玉,5286,163004,406,9,4778,102
千葉,4473,110522,360,13,4037,76
東京,28604,532530,1867,25,26306,431
神奈川,7843,178657,570,19,7120,153
新潟,180,16808,4,0,176,0
富山,423,13903,1,0,396,26
石川,788,15179,20,0,721,47
福井,254,10331,9,0,234,11
山梨,199,11173,2,0,191,6
長野,323,20863,7,0,315,3
岐阜,642,24856,13,1,619,10
静岡,575,39100,15,0,558,2
愛知,5615,87811,219,10,5305,91
三重,544,14558,22,0,515,7
滋賀,520,13221,15,0,497,8
京都,1907,48126,119,1,1761,27
大阪,11414,210358,457,19,10715,226
兵庫,2960,62910,124,14,2776,60
奈良,610,23057,29,2,572,9
和歌山,254,9887,11,1,236,4
鳥取,36,5548,0,0,36,0
島根,140,6000,0,0,140,0
岡山,170,8654,12,2,155,1
広島,646,25370,44,1,599,3
山口,209,10853,4,1,203,2
徳島,149,7143,0,0,140,9
香川,97,12231,4,0,91,2
愛媛,116,4227,2,0,108,6
高知,140,3565,2,0,134,4
福岡,5138,149523,66,7,4973,99
佐賀,250,6431,3,0,249,0
長崎,241,20608,2,0,235,3
熊本,735,18258,69,0,637,8
大分,159,19043,2,0,155,2
宮崎,366,8703,1,0,365,1
鹿児島,462,21290,20,0,439,12
沖縄,2855,46732,258,10,2547,54
(その他),149,-,0,-,149,-
合計,90979,2174691,5205,148,84088,1660
