都道府県名,陽性者数 検査人数,,%
北海道,1627,36329,4.5%
青森,33,1731,1.9%
岩手,9,2218,0.4%
宮城,184,7146,2.6%
秋田,43,1554,2.8%
山形,76,3005,2.5%
福島,106,11990,0.9%
茨城,456,9383,4.9%
栃木,277,18653,1.5%
群馬,307,10523,2.9%
埼玉,3256,89463,3.6%
千葉,2495,45444,5.5%
東京,17875,260990,6.8%
神奈川,3904,91480,4.3%
新潟,130,8383,1.6%
富山,308,6694,4.6%
石川,475,4097,11.6%
福井,155,5899,2.6%
山梨,140,8681,1.6%
長野,149,10909,1.4%
岐阜,516,15311,3.4%
静岡,418,19352,2.2%
愛知,3744,39879,9.4%
三重,284,7642,3.7%
滋賀,346,7216,4.8%
京都,1119,24839,4.5%
大阪,6916,105926,6.5%
兵庫,1900,36336,5.2%
奈良,403,11572,3.5%
和歌山,198,7395,2.7%
鳥取,21,4316,0.5%
島根,132,4211,3.1%
岡山,126,3836,3.3%
広島,437,16148,2.7%
山口,83,5050,1.6%
徳島,91,3936,2.3%
香川,65,6505,1.0%
愛媛,110,3431,3.2%
高知,103,2609,3.9%
福岡,3633,35054,10.4%
佐賀,198,3983,5.0%
長崎,185,10783,1.7%
熊本,412,9237,4.5%
大分,113,9222,1.2%
宮崎,267,6956,3.8%
鹿児島,328,13337,2.5%
沖縄,1656,18502,9.0%
長崎船,149,0,-
合計,55958,1067156,5.2%
