都道府県名,陽性者数 検査人数,,%
北海道,10805,183390,5.9%
青森,364,7849,4.6%
岩手,252,10662,2.4%
宮城,1417,21113,6.7%
秋田,90,3746,2.4%
山形,218,8932,2.4%
福島,582,44199,1.3%
茨城,1935,17774,10.9%
栃木,839,60231,1.4%
群馬,1572,42544,3.7%
埼玉,10101,260942,3.9%
千葉,7958,189306,4.2%
東京,46124,840791,5.5%
神奈川,14599,281819,5.2%
新潟,380,24145,1.6%
富山,462,18434,2.5%
石川,899,24571,3.7%
福井,331,16507,2.0%
山梨,440,14073,3.1%
長野,909,35844,2.5%
岐阜,1406,48913,2.9%
静岡,2087,67934,3.1%
愛知,12123,152984,7.9%
三重,1028,24205,4.2%
滋賀,852,30612,2.8%
京都,3076,73836,4.2%
大阪,24192,372343,6.5%
兵庫,6994,109727,6.4%
奈良,1433,38382,3.7%
和歌山,545,14702,3.7%
鳥取,67,19438,0.3%
島根,165,7659,2.2%
岡山,702,24136,2.9%
広島,1322,43500,3.0%
山口,429,22347,1.9%
徳島,187,13790,1.4%
香川,198,19091,1.0%
愛媛,356,9639,3.7%
高知,312,4483,7.0%
福岡,6343,221015,2.9%
佐賀,371,11401,3.3%
長崎,290,29313,1.0%
熊本,1184,27352,4.3%
大分,490,32945,1.5%
宮崎,584,10923,5.3%
鹿児島,741,30031,2.5%
沖縄,4735,78522,6.0%
長崎船,149,0,-
合計,172638,3646095,4.7%
