都道府県名,陽性者数 検査人数,,%
北海道,1170,17706,6.6%
青森,27,917,2.9%
岩手,0,788,0.0%
宮城,88,3314,2.7%
秋田,16,967,1.7%
山形,69,2479,2.8%
福島,81,5599,1.4%
茨城,168,5050,3.3%
栃木,66,5520,1.2%
群馬,151,4353,3.5%
埼玉,1021,27215,3.8%
千葉,919,16716,5.5%
東京,5592,16351,34.2%
神奈川,1411,11329,12.5%
新潟,83,4595,1.8%
富山,227,3661,6.2%
石川,299,2845,10.5%
福井,122,3028,4.0%
山梨,71,4911,1.4%
長野,76,3021,2.5%
岐阜,154,4259,3.6%
静岡,77,3680,2.1%
愛知,516,11375,4.5%
三重,45,2645,1.7%
滋賀,100,2091,4.8%
京都,360,9129,3.9%
大阪,1786,35176,5.1%
兵庫,699,11950,5.8%
奈良,92,3240,2.8%
和歌山,63,3856,1.6%
鳥取,3,1425,0.2%
島根,24,1202,2.0%
岡山,25,1833,1.4%
広島,168,7460,2.3%
山口,37,1938,1.9%
徳島,5,824,0.6%
香川,28,2380,1.2%
愛媛,82,2527,3.2%
高知,74,1893,3.9%
福岡,825,14991,5.5%
佐賀,47,1559,3.0%
長崎,17,3034,0.6%
熊本,48,4092,1.2%
大分,60,4421,1.4%
宮崎,17,1480,1.1%
鹿児島,11,2305,0.5%
沖縄,142,2962,4.8%
長崎船,149,-,-
合計,17311,284092,6.1%
