都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1170,17706,123,10,956,91
青   森,27,917,0,0,26,1
岩    手,0,788,0,0,0,0
宮    城,88,3314,0,0,87,1
秋  田,16,967,0,0,16,0
山    形,69,2479,1,1,68,0
福    島,81,5599,2,0,79,0
茨    城,168,5050,3,0,155,10
栃    木,66,5520,1,0,65,0
群    馬,151,4353,4,0,128,19
埼    玉,1021,27215,22,4,947,52
千    葉,919,16716,28,3,846,45
東    京,5592,16351,391,21,4887,314
神 奈 川,1411,11329,138,23,1183,90
新    潟,83,4595,1,0,81,0
富    山,227,3661,3,0,202,22
石    川,299,2845,31,2,241,27
福    井,122,3028,0,0,114,8
山    梨,71,4911,2,0,68,1
長    野,76,3021,1,0,75,-
岐    阜,154,4259,4,2,143,7
静    岡,77,3680,3,0,73,1
愛    知,516,11375,10,0,467,34
三    重,45,2645,0,0,44,1
滋    賀,100,2091,1,1,98,1
京    都,360,9129,4,0,338,18
大    阪,1786,35176,30,9,1668,85
兵    庫,699,11950,3,0,653,43
奈    良,92,3240,0,0,90,2
和 歌 山,63,3856,0,0,60,3
鳥    取,3,1425,0,0,3,0
島    根,24,1202,1,1,23,0
岡    山,25,1833,0,-,25,-
広    島,168,7460,0,0,165,3
山    口,37,1938,1,1,36,0
徳    島,5,824,0,0,4,1
香    川,28,2380,0,0,28,0
愛    媛,82,2527,6,0,72,4
高    知,74,1893,0,0,71,3
福    岡,825,14991,55,2,742,28
佐    賀,47,1559,0,0,47,0
長    崎,17,3034,0,0,16,1
熊    本,48,4092,0,0,45,3
大    分,60,4421,0,0,59,1
宮    崎,17,1480,0,0,17,0
鹿 児 島,11,2305,1,0,10,0
沖    縄,142,2962,0,0,139,7
(その他),149,-,1,-,148,-
合計,17311,284092,871,80,15508,927
