都道府県名,陽性者数,検査人数,%
北海道,847,7054,12.0%
青森,26,643,4.0%
岩手,0,363,0.0%
宮城,88,1910,4.6%
秋田,16,852,1.9%
山形,68,2246,3.0%
福島,78,1844,4.2%
茨城,165,4835,3.4%
栃木,54,2015,2.7%
群馬,146,1654,8.8%
埼玉,888,8939,9.9%
千葉,828,6374,12.3%
東京,4582,11691,39.2%
神奈川,1101,6002,17.2%
新潟,77,3044,2.5%
富山,212,2392,8.9%
石川,264,1977,13.4%
福井,122,1771,6.9%
山梨,56,2358,2.4%
長野,70,1818,3.9%
岐阜,150,2404,6.2%
静岡,73,2780,2.6%
愛知,492,7463,6.6%
三重,45,1938,2.3%
滋賀,96,1314,7.3%
京都,331,4343,7.6%
大阪,1669,12492,12.4%
兵庫,667,8052,8.3%
奈良,87,1605,5.4%
和歌山,62,3077,2.0%
鳥取,3,1103,0.3%
島根,24,830,2.9%
岡山,23,1131,2.0%
広島,162,5062,3.2%
山口,35,1290,2.7%
徳島,5,469,1.1%
香川,28,1711,1.6%
愛媛,48,1116,4.3%
高知,74,1496,4.9%
福岡,648,9400,6.9%
佐賀,44,1077,4.1%
長崎,17,2050,0.8%
熊本,47,3178,1.5%
大分,60,3175,1.9%
宮崎,17,1122,1.5%
鹿児島,10,1287,0.8%
沖縄,142,2211,6.4%
長崎船,148,623,23.8%
合計,14895,153581,9.5%
