都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,954,8945,439,26,459,56
青   森,27,760,-,-,21,-
岩    手,0,418,0,0,0,0
宮    城,88,2297,7,-,80,1
秋  田,16,887,2,-,14,-
山    形,69,2456,11,-,58,-
福    島,81,2454,31,-,50,0
茨    城,168,3957,52,2,92,9
栃    木,56,2535,-,-,32,-
群    馬,147,3064,61,2,68,18
埼    玉,969,12884,311,9,616,42
千    葉,883,12793,340,11,503,40
東    京,4883,13124,2509,65,2185,189
神 奈 川,1178,2057,419,31,709,50
新    潟,82,3402,31,-,50,-
富    山,221,2849,108,-,99,14
石    川,280,2276,127,-,136,17
福    井,122,2097,0,3,95,8
山    梨,56,2981,7,1,49,0
長    野,75,2199,27,2,48,-
岐    阜,150,3490,21,1,123,6
静    岡,73,3116,15,2,57,1
愛    知,494,8437,105,5,352,34
三    重,45,2179,10,0,34,1
滋    賀,97,1462,29,-,67,1
京    都,352,5613,92,-,247,13
大    阪,1744,22011,603,50,1068,61
兵    庫,693,9179,159,24,500,34
奈    良,90,2035,21,-,67,2
和 歌 山,62,3369,9,-,50,3
鳥    取,3,1167,2,-,1,0
島    根,24,911,-,-,12,-
岡    山,24,1377,6,-,18,-
広    島,165,6002,78,-,85,2
山    口,37,1528,4,-,33,-
徳    島,5,611,-,-,3,1
香    川,28,1852,7,0,21,0
愛    媛,48,1276,7,1,38,3
高    知,74,1584,6,0,65,3
福    岡,654,10535,162,-,468,24
佐    賀,45,1235,20,1,23,0
長    崎,17,2361,2,0,14,1
熊    本,48,3492,22,2,23,3
大    分,60,3499,-,-,54,1
宮    崎,17,1243,5,-,12,-
鹿 児 島,11,1513,-,-,8,-
沖    縄,142,2511,41,5,96,5
(その他),149,623,6,-,0,-
合計,15706,188646,5914,243,8903,643
