都道府県名,陽性者数 検査人数,,%
北海道,2542,70302,3.6%
青森,122,3217,3.8%
,26,4915,0.5%
宮城,526,12334,4.3%
秋田,59,2384,2.5%
山形,81,5370,1.5%
福島,369,25322,1.5%
茨城,728,13174,5.5%
栃木,466,34491,1.4%
群馬,785,26435,3.0%
埼玉,5393,165689,3.3%
千葉,4548,113355,4.0%
東京,29046,541987,5.4%
神奈川,7965,182376,4.4%
新潟,180,16905,1.1%
富山,422,14003,3.0%
石川,795,15422,5.2%
福井,256,10562,2.4%
山梨,199,11252,1.8%
長野,326,21163,1.5%
岐阜,644,24988,2.6%
静岡,580,39592,1.5%
,5685,89287,6.4%
三重,549,14763,3.7%
滋賀,527,13359,3.9%
京都,1928,49179,3.9%
大阪,11555,213697,5.4%
,3008,63825,4.7%
奈良,613,23285,2.6%
和歌山,255,9940,2.6%
鳥取,36,5559,0.6%
島根,140,6033,2.3%
岡山,173,8654,2.0%
広島,650,25370,2.6%
山口,209,11045,1.9%
徳島,159,7230,2.2%
香川,99,12515,0.8%
愛媛,116,4246,2.7%
高知,140,3587,3.9%
,5142,151512,3.4%
佐賀,252,6617,3.8%
長崎,242,20834,1.2%
熊本,746,18505,4.0%
大分,159,19211,0.8%
宮崎,366,8720,4.2%
鹿児島,463,21449,2.2%
沖縄,2954,47970,6.2%
長崎船,149,0,-
合計,92373,2211630,4.2%
