都道府県名,陽性者数,検査人数,%,備考
北海道,272,3257,8.4%,
青森県,22,391,5.6%,
岩手県,0,155,0.0%,
宮城県,54,816,6.6%,
秋田県,15,555,2.7%,
山形県,35,932,3.8%,
福島県,38,701,5.4%,
茨城県,110,2501,4.4%,
栃木県,36,1082,3.3%,
群馬県,91,1717,5.3%,
埼玉県,414,2415,17.1%,HP
千葉県,474,2329,20.4%,
東京都,2171,6327,34.3%,
神奈川県,572,3116,18.4%,
新潟県,42,1670,2.5%,
富山県,49,910,5.4%,
石川県,121,718,16.9%,
福井県,92,710,13.0%,
山梨県,35,1157,3.0%,
長野県,34,1068,3.2%,
岐阜県,112,1442,7.8%,
静岡県,46,1606,2.9%,
愛知県,328,4201,7.8%,
三重県,17,995,1.7%,
滋賀県,40,552,7.2%,
京都府,205,2225,9.2%,
大阪府,836,3073,27.2%,
兵庫県,384,4250,9.0%,
奈良県,44,618,7.1%,
和歌山県,34,2092,1.6%,
鳥取県,1,378,0.3%,
島根県,8,366,2.2%,
岡山県,16,669,2.4%,
広島県,57,2091,2.7%,HP
山口県,24,657,3.7%,
徳島県,3,236,1.3%,
香川県,16,546,2.9%,
愛媛県,37,631,5.9%,
高知県,60,913,6.6%,
福岡県,373,5051,7.4%,
佐賀県,13,405,3.2%,
長崎県,14,1106,1.3%,
熊本県,28,1877,1.5%,
大分県,43,2161,2.0%,
宮崎県,17,703,2.4%,
鹿児島県,4,614,0.7%,HP
沖縄県,72,816,8.8%,
合計,7509,72801,10.3%,
