都道府県名,陽性者数 検査人数,,%
北海道,21298,458457,4.6%
青森,1086,26028,4.2%
岩手,705,47083,1.5%
宮城,6520,95030,6.9%
秋田,301,7584,4.0%
山形,1052,37520,2.8%
福島,2912,155282,1.9%
茨城,6892,26895,25.6%
栃木,4777,177169,2.7%
群馬,5118,116275,4.4%
埼玉,33493,662472,5.1%
千葉,30141,487753,6.2%
東京,122951,1793685,6.9%
神奈川,48676,709257,6.9%
新潟,1566,85593,1.8%
富山,961,42421,2.3%
石川,1957,61396,3.2%
福井,619,36825,1.7%
山梨,989,32134,3.1%
長野,2957,121164,2.4%
岐阜,5019,161987,3.1%
静岡,5836,253033,2.3%
愛知,27823,475126,5.9%
三重,2853,79034,3.6%
滋賀,2857,88603,3.2%
京都,9757,180959,5.4%
大阪,55030,1094543,5.0%
兵庫,20847,305678,6.8%
奈良,4019,99732,4.0%
和歌山,1364,27386,5.0%
鳥取,277,50134,0.6%
島根,288,18022,1.6%
岡山,2762,81422,3.4%
広島,5209,181607,2.9%
山口,1439,68811,2.1%
徳島,593,33508,1.8%
香川,914,52926,1.7%
愛媛,1518,41928,3.6%
高知,931,7471,12.5%
福岡,19146,517474,3.7%
佐賀,1224,32704,3.7%
長崎,1645,78704,2.1%
熊本,3521,58455,6.0%
大分,1323,93888,1.4%
宮崎,1966,24922,7.9%
鹿児島,1863,74509,2.5%
沖縄,9941,168321,5.9%
長崎船,149,0,-
合計,485085,9530910,5.1%
