都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,21298,458457,806,21,19692,754
青森,1086,26028,162,0,904,20
岩手,705,47083,113,0,562,30
宮城,6520,95030,1517,9,4969,34
秋田,301,7584,23,0,272,6
山形,1052,37520,278,1,757,17
福島,2912,155282,279,11,2516,117
茨城,6892,26895,301,1,6464,127
栃木,4777,177169,244,2,4463,70
群馬,5118,116275,205,4,4814,99
埼玉,33493,662472,1446,37,31343,704
千葉,30141,487753,1114,16,28450,577
東京,122951,1793685,3570,46,117602,1779
神奈川,48676,709257,1005,26,46884,787
新潟,1566,85593,225,2,1341,18
富山,961,42421,40,0,892,29
石川,1957,61396,62,1,1829,64
福井,619,36825,62,0,532,25
山梨,989,32134,29,1,941,19
長野,2957,121164,288,1,2648,41
岐阜,5019,161987,142,4,4749,128
静岡,5836,253033,228,0,5490,118
愛知,27823,475126,952,7,26281,590
三重,2853,79034,197,1,2668,72
滋賀,2857,88603,154,4,2645,58
京都,9757,180959,432,1,9175,171
大阪,55030,1094543,5129,143,48256,1195
兵庫,20847,305678,1704,76,18547,596
奈良,4019,99732,464,6,3500,55
和歌山,1364,27386,150,8,1171,18
鳥取,277,50134,66,0,205,2
島根,288,18022,4,0,284,0
岡山,2762,81422,82,3,2575,36
広島,5209,181607,106,1,4992,106
山口,1439,68811,38,0,1358,43
徳島,593,33508,123,2,451,19
香川,914,52926,138,0,760,19
愛媛,1518,41928,397,3,1097,24
高知,931,7471,23,2,889,19
福岡,19146,517474,384,5,18429,333
佐賀,1224,32704,64,0,1166,13
長崎,1645,78704,26,0,1580,39
熊本,3521,58455,32,2,3415,74
大分,1323,93888,21,1,1280,22
宮崎,1966,24922,21,1,1924,22
鹿児島,1863,74509,65,0,1790,28
沖縄,9941,168321,792,2,9026,129
(その他),149,-,0,-,149,-
合計,485085,9530910,23703,451,451727,9246
