都道府県名,陽性者数 検査人数,,%
北海道,18441,349717,5.3%
青森,801,16238,4.9%
岩手,520,22363,2.3%
宮城,3493,49658,7.0%
秋田,269,6879,3.9%
山形,532,16505,3.2%
福島,1827,97015,1.9%
茨城,5334,24378,21.9%
栃木,3954,116827,3.4%
群馬,4231,83749,5.1%
埼玉,27633,502990,5.5%
千葉,24476,371115,6.6%
東京,106134,1423473,7.5%
神奈川,43156,542742,8.0%
新潟,1003,39982,2.5%
富山,887,33471,2.7%
石川,1652,45401,3.6%
福井,530,28900,1.8%
山梨,919,14741,6.2%
長野,2345,90739,2.6%
岐阜,4554,119585,3.8%
静岡,4824,164992,2.9%
愛知,25069,353866,7.1%
三重,2379,56417,4.2%
滋賀,2305,64483,3.6%
京都,8846,143753,6.2%
大阪,45849,715781,6.4%
兵庫,17415,225376,7.7%
奈良,3254,75362,4.3%
和歌山,1143,23690,4.8%
鳥取,207,37420,0.6%
島根,280,13515,2.1%
岡山,2442,60138,4.1%
広島,4931,139356,3.5%
山口,1352,52858,2.6%
徳島,424,23878,1.8%
香川,717,41472,1.7%
愛媛,1029,29634,3.5%
高知,874,6996,12.5%
福岡,17263,406435,4.2%
佐賀,995,25938,3.8%
長崎,1580,62926,2.5%
熊本,3403,55602,6.1%
大分,1261,72634,1.7%
宮崎,1906,24475,7.8%
鹿児島,1716,61770,2.8%
沖縄,7971,136270,5.8%
長崎船,149,0,-
合計,412275,7071505,5.8%
