都道府県名,陽性者数 検査人数,,%
北海道,1117,15713,7.1%
青森,27,882,3.1%
岩手,0,705,0.0%
宮城,88,3086,2.9%
秋田,16,942,1.7%
山形,69,2452,2.8%
福島,81,5004,1.6%
茨城,168,4772,3.5%
栃木,66,4840,1.4%
群馬,151,3942,3.8%
埼玉,1007,23291,4.3%
千葉,907,15494,5.9%
東京,5383,15681,34.3%
神奈川,1387,10327,13.4%
新潟,83,4334,1.9%
富山,227,3482,6.5%
石川,299,2791,10.7%
福井,122,2839,4.3%
山梨,65,4259,1.5%
長野,76,2865,2.7%
岐阜,151,3886,3.9%
静岡,75,3612,2.1%
愛知,509,10467,4.9%
三重,45,2561,1.8%
滋賀,100,1967,5.1%
京都,358,8435,4.2%
大阪,1784,33273,5.4%
兵庫,699,11560,6.0%
奈良,92,2898,3.2%
和歌山,63,3787,1.7%
鳥取,3,1392,0.2%
島根,24,1166,2.1%
岡山,25,1771,1.4%
広島,168,7136,2.4%
山口,37,1845,2.0%
徳島,5,778,0.6%
香川,28,2283,1.2%
愛媛,82,2389,3.4%
高知,74,1845,4.0%
福岡,799,14242,5.6%
佐賀,47,1483,3.2%
長崎,17,2920,0.6%
熊本,48,4028,1.2%
大分,60,4217,1.4%
宮崎,17,1414,1.2%
鹿児島,10,1998,0.5%
沖縄,142,2908,4.9%
長崎船,149,-,-
合計,16950,263962,6.4%
