都道府県名,陽性者数 検査人数,,%
北海道,12307,213422,5.8%
青森,391,8675,4.5%
岩手,336,12981,2.6%
宮城,1776,23979,7.4%
秋田,95,3951,2.4%
山形,324,9645,3.4%
福島,754,50452,1.5%
茨城,2149,18301,11.7%
栃木,1039,66532,1.6%
群馬,1950,47293,4.1%
埼玉,11789,287305,4.1%
千葉,9172,206425,4.4%
東京,51838,913711,5.7%
神奈川,17039,318768,5.3%
新潟,443,25787,1.7%
富山,494,20063,2.5%
石川,967,26934,3.6%
福井,337,17495,1.9%
山梨,488,14339,3.4%
⾧野,1050,41682,2.5%
岐阜,1748,56624,3.1%
静岡,2383,78035,3.1%
愛知,14127,171494,8.2%
三重,1151,26913,4.3%
滋賀,944,33729,2.8%
京都,3782,82095,4.6%
大阪,27217,415640,6.5%
兵庫,8204,123359,6.7%
奈良,1686,43109,3.9%
和歌山,582,15760,3.7%
鳥取,69,21278,0.3%
島根,181,8556,2.1%
岡山,1111,27231,4.1%
広島,2298,60968,3.8%
山口,468,24734,1.9%
徳島,192,14337,1.3%
香川,209,20614,1.0%
愛媛,375,10873,3.4%
高知,518,5353,9.7%
福岡,7366,240793,3.1%
佐賀,411,13513,3.0%
⾧崎,400,34299,1.2%
熊本,1446,30344,4.8%
大分,576,37321,1.5%
宮崎,669,11785,5.7%
鹿児島,875,34683,2.5%
沖縄,4989,83981,5.9%
⾧崎船,149,0,-
合計,198864,4055161,4.9%
