都道府県名,陽性者数 検査人数,,%
北海道,18011,336047,5.4%
青森,740,15429,4.8%
岩手,513,21161,2.4%
宮城,3461,49205,7.0%
秋田,269,6756,4.0%
山形,526,15770,3.3%
福島,1775,91113,1.9%
茨城,5092,23780,21.4%
栃木,3871,112740,3.4%
群馬,4092,78856,5.2%
埼玉,26524,476622,5.6%
千葉,23615,342439,6.9%
東京,103416,1372936,7.5%
神奈川,42117,520223,8.1%
新潟,950,38132,2.5%
富山,880,32299,2.7%
石川,1533,43176,3.6%
福井,521,27932,1.9%
山梨,908,14741,6.2%
長野,2329,86509,2.7%
岐阜,4409,111656,3.9%
静岡,4732,154697,3.1%
愛知,24503,333828,7.3%
三重,2298,52085,4.4%
滋賀,2233,61711,3.6%
京都,8651,137085,6.3%
大阪,44959,681853,6.6%
兵庫,16989,213425,8.0%
奈良,3185,72095,4.4%
和歌山,1106,22584,4.9%
鳥取,207,36012,0.6%
島根,276,13515,2.0%
岡山,2390,55878,4.3%
広島,4872,120841,4.0%
山口,1292,49814,2.6%
徳島,394,22854,1.7%
香川,694,39824,1.7%
愛媛,1009,27616,3.7%
高知,860,6958,12.4%
福岡,16434,388270,4.2%
佐賀,976,24953,3.9%
長崎,1543,60154,2.6%
熊本,3372,54767,6.2%
大分,1223,68859,1.8%
宮崎,1879,24027,7.8%
鹿児島,1656,58619,2.8%
沖縄,7822,131729,5.9%
長崎船,149,0,-
合計,401256,6731575,6.0%
