都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,18011,336047,1215,10,16188,619
青森,740,15429,58,1,669,13
岩手,513,21161,26,1,458,29
宮城,3461,49205,169,7,3270,22
秋田,269,6756,37,0,228,4
山形,526,15770,58,1,455,13
福島,1775,91113,159,11,1561,55
茨城,5092,23780,538,15,4479,75
栃木,3871,112740,309,13,3509,53
群馬,4092,78856,388,12,3628,76
埼玉,26524,476622,3612,65,22509,403
千葉,23615,342439,4417,43,18904,294
東京,103416,1372936,7717,114,94682,1017
神奈川,42117,520223,2188,90,39391,538
新潟,950,38132,96,2,842,12
富山,880,32299,29,2,824,27
石川,1533,43176,113,1,1376,59
福井,521,27932,46,2,453,22
山梨,908,14741,25,3,868,15
長野,2329,86509,110,1,2206,39
岐阜,4409,111656,371,11,3960,78
静岡,4732,154697,355,3,4291,86
愛知,24503,333828,1893,51,22174,436
三重,2298,52085,308,12,1957,33
滋賀,2233,61711,248,6,1952,33
京都,8651,137085,989,7,7610,127
大阪,44959,681853,3464,147,40504,991
兵庫,16989,213425,1425,61,15123,441
奈良,3185,72095,265,6,2878,42
和歌山,1106,22584,80,7,989,15
鳥取,207,36012,18,1,183,2
島根,276,13515,22,0,254,0
岡山,2390,55878,143,5,2199,24
広島,4872,120841,208,8,4560,94
山口,1292,49814,194,0,1072,26
徳島,394,22854,32,3,347,15
香川,694,39824,103,1,575,16
愛媛,1009,27616,78,2,910,21
高知,860,6958,24,1,819,17
福岡,16434,388270,1899,37,14310,200
佐賀,976,24953,67,1,921,6
長崎,1543,60154,210,3,1302,35
熊本,3372,54767,173,15,3112,64
大分,1223,68859,135,1,1070,18
宮崎,1879,24027,141,4,1721,20
鹿児島,1656,58619,111,3,1541,19
沖縄,7822,131729,610,5,7125,92
(その他),149,-,0,-,149,-
合計,401256,6731575,34876,795,360108,6336
