都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1275,21674,94,6,1080,101
青 森,27,1002,0,0,26,1
岩手,0,1005,0,0,0,0
宮城,97,3951,6,0,90,1
秋  田,16,999,0,0,16,0
山形,69,2566,1,1,68,0
福島,82,7204,1,0,81,0
茨城,183,5417,13,0,160,10
栃木,86,7829,18,0,86,0
群馬,154,5261,3,0,133,19
埼玉,1218,37535,175,3,978,65
千葉,1003,18877,67,1,891,45
東京,6654,91377,712,9,5617,325
神奈川,1565,12898,107,7,1362,96
新潟,84,5054,0,0,83,0
富山,228,4009,1,0,205,22
石川,300,2925,13,1,260,27
福井,122,3510,0,0,114,8
山梨,75,5815,2,0,72,1
長野,77,3351,1,0,76,-
岐阜,160,5420,6,1,147,7
静岡,86,7829,6,0,79,1
愛知,525,13199,7,0,478,34
三重,46,2945,0,0,45,1
滋賀,103,2524,3,0,99,1
京都,386,10600,21,0,347,18
大阪,1851,41726,51,2,1714,86
兵庫,709,15362,8,0,656,45
奈良,93,3943,1,0,90,2
和歌山,64,4054,0,0,61,3
鳥取,4,1645,1,0,3,0
島根,24,1256,0,0,24,0
岡山,28,1976,2,-,26,-
広島,169,7907,1,0,165,3
山口,37,2435,0,0,37,0
徳島,6,953,1,0,4,1
香川,28,2792,0,0,28,0
愛媛,82,2629,0,0,77,5
高知,74,1991,0,0,71,3
福岡,862,16875,23,2,806,33
佐賀,47,1665,0,0,47,0
長崎,17,3343,0,0,16,1
熊本,49,4325,0,0,46,3
大分,60,5039,0,0,59,1
宮崎,17,1589,0,0,17,0
鹿児島,51,2784,40,0,11,0
沖縄,142,3037,0,0,139,7
(その他),149,-,1,-,148,-
合計,19184,412102,1386,33,16838,976
