都道府県名,陽性者数 検査人数,,%
北海道,1275,21674,5.9%
青森,27,1002,2.7%
岩手,0,1005,0.0%
宮城,97,3951,2.5%
秋田,16,999,1.6%
山形,69,2566,2.7%
福島,82,7204,1.1%
茨城,183,5417,3.4%
栃木,86,7829,1.1%
群馬,154,5261,2.9%
埼玉,1218,37535,3.2%
千葉,1003,18877,5.3%
東京,6654,91377,7.3%
神奈川,1565,12898,12.1%
新潟,84,5054,1.7%
富山,228,4009,5.7%
石川,300,2925,10.3%
福井,122,3510,3.5%
山梨,75,5815,1.3%
長野,77,3351,2.3%
岐阜,160,5420,3.0%
静岡,86,7829,1.1%
愛知,525,13199,4.0%
三重,46,2945,1.6%
滋賀,103,2524,4.1%
京都,386,10600,3.6%
大阪,1851,41726,4.4%
兵庫,709,15362,4.6%
奈良,93,3943,2.4%
和歌山,64,4054,1.6%
鳥取,4,1645,0.2%
島根,24,1256,1.9%
岡山,28,1976,1.4%
広島,169,7907,2.1%
山口,37,2435,1.5%
徳島,6,953,0.6%
香川,28,2792,1.0%
愛媛,82,2629,3.1%
高知,74,1991,3.7%
福岡,862,16875,5.1%
佐賀,47,1665,2.8%
長崎,17,3343,0.5%
熊本,49,4325,1.1%
大分,60,5039,1.2%
宮崎,17,1589,1.1%
鹿児島,51,2784,1.8%
沖縄,142,3037,4.7%
長崎船,149,-,-
合計,19184,412102,4.7%
