都道府県名,陽性者数 検査人数,,%
北海道,1541,33382,4.6%
青森,32,1549,2.1%
岩手,7,1907,0.4%
宮城,182,6752,2.7%
秋田,35,1201,2.9%
山形,76,2975,2.6%
福島,96,10978,0.9%
茨城,397,8181,4.9%
栃木,246,16441,1.5%
群馬,226,9239,2.4%
埼玉,2878,78927,3.6%
千葉,2164,32778,6.6%
東京,15867,221676,7.2%
神奈川,3187,42717,7.5%
新潟,128,7460,1.7%
富山,285,5841,4.9%
石川,364,3521,10.3%
福井,154,5557,2.8%
山梨,124,7778,1.6%
長野,131,9389,1.4%
岐阜,465,13419,3.5%
静岡,345,16211,2.1%
愛知,2675,29908,8.9%
三重,229,6002,3.8%
滋賀,291,5717,5.1%
京都,923,20966,4.4%
大阪,5769,90998,6.3%
兵庫,1588,31663,5.0%
奈良,330,15767,2.1%
和歌山,179,6927,2.6%
鳥取,21,4041,0.5%
島根,31,3071,1.0%
岡山,111,3518,3.2%
広島,406,14241,2.9%
山口,76,4430,1.7%
徳島,58,2848,2.0%
香川,59,5464,1.1%
愛媛,102,3243,3.1%
高知,83,2391,3.5%
福岡,2903,30475,9.5%
佐賀,154,3398,4.5%
長崎,166,9339,1.8%
熊本,354,7832,4.5%
大分,87,7915,1.1%
宮崎,228,5940,3.8%
鹿児島,277,12235,2.3%
沖縄,1127,14462,7.8%
長崎船,149,0,-
合計,47306,880670,5.4%
