都道府県名,陽性者数 検査人数,,%
北海道,1391,27003,5.2%
青森,31,1369,2.3%
岩手,0,1357,0.0%
宮城,142,5584,2.5%
秋田,18,1070,1.7%
山形,75,2864,2.6%
福島,86,9167,0.9%
茨城,244,6737,3.6%
栃木,163,12241,1.3%
群馬,179,7453,2.4%
埼玉,2091,58157,3.6%
千葉,1499,26393,5.7%
東京,11345,166492,6.8%
神奈川,2253,17145,13.1%
新潟,94,6022,1.6%
富山,236,5016,4.7%
石川,313,3169,9.9%
福井,129,4599,2.8%
山梨,88,6968,1.3%
長野,92,6050,1.5%
岐阜,240,8892,2.7%
静岡,200,10472,1.9%
愛知,1096,19918,5.5%
三重,70,3721,1.9%
滋賀,155,4005,3.9%
京都,657,16392,4.0%
大阪,3188,62724,5.1%
兵庫,1014,23551,4.3%
奈良,209,7978,2.6%
和歌山,130,5725,2.3%
鳥取,6,2356,0.3%
島根,28,2340,1.2%
岡山,64,2673,2.4%
広島,261,10937,2.4%
山口,50,3588,1.4%
徳島,16,1557,1.0%
香川,45,4354,1.0%
愛媛,87,2846,3.1%
高知,79,2196,3.6%
福岡,1432,22157,6.5%
佐賀,67,2160,3.1%
長崎,53,5857,0.9%
熊本,100,4607,2.2%
大分,60,6180,1.0%
宮崎,73,2684,2.7%
鹿児島,216,9619,2.2%
沖縄,192,6342,3.0%
長崎船,149,-,-
合計,30406,630687,4.8%
