都道府県名,陽性者数 検査人数,,%
北海道,1638,36962,4.4%
青森,33,1797,1.8%
岩手,9,2348,0.4%
宮城,185,7209,2.6%
秋田,44,1609,2.7%
山形,76,3015,2.5%
福島,113,12349,0.9%
茨城,476,9563,5.0%
栃木,284,18959,1.5%
群馬,322,10892,3.0%
埼玉,3342,94122,3.6%
千葉,2578,46506,5.5%
東京,18268,271258,6.7%
神奈川,4083,96122,4.2%
新潟,136,11168,1.2%
富山,327,6833,4.8%
石川,500,4314,11.6%
福井,155,6044,2.6%
山梨,149,8825,1.7%
長野,152,11362,1.3%
岐阜,523,15948,3.3%
静岡,431,20510,2.1%
愛知,3843,41111,9.3%
三重,288,7944,3.6%
滋賀,361,7385,4.9%
京都,1164,25679,4.5%
大阪,7288,111448,6.5%
兵庫,1949,37431,5.2%
奈良,450,12714,3.5%
和歌山,215,7570,2.8%
鳥取,22,4369,0.5%
島根,133,4359,3.1%
岡山,129,3873,3.3%
広島,437,16435,2.7%
山口,89,5267,1.7%
徳島,96,4262,2.3%
香川,67,6682,1.0%
愛媛,111,3502,3.2%
高知,105,2646,4.0%
福岡,3728,35797,10.4%
佐賀,203,4082,5.0%
長崎,189,11381,1.7%
熊本,427,9550,4.5%
大分,130,9892,1.3%
宮崎,273,7166,3.8%
鹿児島,337,13671,2.5%
沖縄,1759,18292,9.6%
長崎船,149,0,-
合計,57766,1110223,5.2%
