都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1638,36962,128,3,1407,103
青 森,33,1797,1,0,31,1
岩手,9,2348,5,0,4,0
宮城,185,7209,8,0,176,1
秋  田,44,1609,13,0,31,0
山形,76,3015,0,0,76,1
福島,113,12349,23,1,90,0
茨城,476,9563,78,0,387,11
栃木,284,18959,39,2,242,1
群馬,322,10892,110,0,193,19
埼玉,3342,94122,542,10,2716,84
千葉,2578,46506,457,9,2063,58
東京,18268,271258,3109,32,14812,347
神奈川,4083,96122,658,22,3320,105
新潟,136,11168,11,0,124,0
富山,327,6833,60,3,248,22
石川,500,4314,137,2,334,29
福井,155,6044,6,1,141,8
山梨,149,8825,27,0,121,1
長野,152,11362,28,0,128,-
岐阜,523,15948,57,4,458,8
静岡,431,20510,68,2,362,1
愛知,3843,41111,1236,15,2557,46
三重,288,7944,86,1,199,2
滋賀,361,7385,109,2,248,4
京都,1164,25679,200,4,943,21
大阪,7288,111448,1713,60,5448,122
兵庫,1949,37431,283,16,1618,48
奈良,450,12714,122,3,325,3
和歌山,215,7570,35,1,174,4
鳥取,22,4369,11,0,11,0
島根,133,4359,82,0,51,0
岡山,129,3873,20,-,90,-
広島,437,16435,32,1,402,3
山口,89,5267,22,0,67,0
徳島,96,4262,51,1,41,1
香川,67,6682,10,0,56,1
愛媛,111,3502,10,0,95,6
高知,105,2646,21,0,80,3
福岡,3728,35797,922,22,2761,45
佐賀,203,4082,50,0,155,0
長崎,189,11381,26,-,36,3
熊本,427,9550,91,4,316,7
大分,130,9892,43,0,86,1
宮崎,273,7166,66,0,207,1
鹿児島,337,13671,66,2,258,7
沖縄,1759,18292,814,14,934,15
(その他),149,-,0,-,149,-
合計,57766,1110223,11686,237,44771,1143
