都道府県名,陽性者数 検査人数,,%
北海道,20680,437269,4.7%
青森,929,24217,3.8%
岩手,601,42437,1.4%
宮城,5284,84886,6.2%
秋田,281,7420,3.8%
山形,786,32763,2.4%
福島,2415,141389,1.7%
茨城,6567,26008,25.2%
栃木,4504,169004,2.7%
群馬,4913,110174,4.5%
埼玉,32229,631539,5.1%
千葉,29149,468718,6.2%
東京,119231,1726969,6.9%
神奈川,47579,680128,7.0%
新潟,1364,79231,1.7%
富山,930,40917,2.3%
石川,1900,59084,3.2%
福井,568,34904,1.6%
山梨,956,30877,3.1%
長野,2651,112377,2.4%
岐阜,4891,155190,3.2%
静岡,5593,237667,2.4%
愛知,26961,451860,6.0%
三重,2685,76136,3.5%
滋賀,2725,84485,3.2%
京都,9337,172896,5.4%
大阪,50248,997089,5.0%
兵庫,19230,287626,6.7%
奈良,3590,93746,3.8%
和歌山,1239,26024,4.8%
鳥取,211,46231,0.5%
島根,286,17590,1.6%
岡山,2642,78444,3.4%
広島,5101,176621,2.9%
山口,1403,66920,2.1%
徳島,504,30814,1.6%
香川,780,49799,1.6%
愛媛,1232,37933,3.2%
高知,914,7428,12.3%
福岡,18853,498911,3.8%
佐賀,1164,31405,3.7%
長崎,1625,75314,2.2%
熊本,3495,57733,6.1%
大分,1304,90506,1.4%
宮崎,1953,24807,7.9%
鹿児島,1790,71820,2.5%
沖縄,9077,161176,5.6%
長崎船,149,0,-
合計,462499,9046482,5.1%
