都道府県名,陽性者数 検査人数,,%
北海道,22842,504036,4.5%
青森,1408,30897,4.6%
岩手,802,53589,1.5%
宮城,7808,113960,6.9%
秋田,399,9437,4.2%
山形,1390,44638,3.1%
福島,3094,176193,1.8%
茨城,7666,28796,26.6%
栃木,5150,192484,2.7%
群馬,5602,131474,4.3%
埼玉,36237,724184,5.0%
千葉,32072,531072,6.0%
東京,132903,1944560,6.8%
神奈川,51748,774760,6.7%
新潟,2064,100067,2.1%
富山,1202,48375,2.5%
石川,2279,67739,3.4%
福井,817,43773,1.9%
山梨,1102,35312,3.1%
長野,3635,140370,2.6%
岐阜,5492,179305,3.1%
静岡,6227,280654,2.2%
愛知,30818,527141,5.8%
三重,3351,86936,3.9%
滋賀,3364,98992,3.4%
京都,11281,202076,5.6%
大阪,72250,1297933,5.6%
兵庫,27018,351769,7.7%
奈良,5486,117790,4.7%
和歌山,1943,30171,6.4%
鳥取,351,58639,0.6%
島根,320,19437,1.6%
岡山,3385,89012,3.8%
広島,5531,223467,2.5%
山口,1640,77872,2.1%
徳島,1034,39798,2.6%
香川,1124,58870,1.9%
愛媛,2080,54073,3.8%
高知,975,7663,12.7%
福岡,20753,566531,3.7%
佐賀,1452,36180,4.0%
長崎,1852,87425,2.1%
熊本,3767,61319,6.1%
大分,1457,104118,1.4%
宮崎,2080,28287,7.4%
鹿児島,1992,79584,2.5%
沖縄,11867,183885,6.5%
長崎船,149,0,-
合計,549259,10644643,5.2%
