都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,40390,731750,4572,35,34653,1284
青森,2447,47732,89,2,2328,30
岩手,1580,79746,120,0,1414,46
宮城,9023,150890,141,9,8791,84
秋田,762,14046,16,1,727,19
山形,2007,61862,58,3,1903,46
福島,4701,261499,118,4,4428,155
茨城,10111,32980,319,11,9635,157
栃木,6663,274337,261,10,6322,80
群馬,7976,182168,153,8,7675,148
埼玉,44975,917669,1110,34,43051,814
千葉,38299,641726,958,20,36647,694
東京,166065,2381420,3671,46,160244,2150
神奈川,64025,972090,1773,48,61328,924
新潟,3357,154556,154,1,3157,46
富山,1954,68443,74,5,1843,37
石川,3869,110969,122,3,3633,111
福井,1062,61201,17,0,1011,34
山梨,1777,47764,220,2,1537,20
長野,4930,189515,126,2,4785,89
岐阜,9257,254848,376,19,8705,176
静岡,8823,372339,434,6,8246,143
愛知,49593,763178,3002,74,45710,881
三重,5127,134562,213,9,4942,108
滋賀,5398,139747,291,10,5024,83
京都,16325,268127,416,18,15645,229
大阪,101678,1960110,5641,209,92651,2524
兵庫,40452,481717,756,59,38441,1256
奈良,8068,158592,164,10,7784,120
和歌山,2651,41052,25,6,2523,47
鳥取,466,79256,8,0,449,2
島根,549,28600,16,2,533,0
岡山,7544,153838,269,7,7125,120
広島,11166,523290,384,16,10548,150
山口,3065,113166,179,2,2817,69
徳島,1641,61260,17,0,1561,63
香川,2063,81398,64,4,1978,26
愛媛,2736,91487,20,4,2641,75
高知,1652,10530,127,12,1504,21
福岡,34937,786833,1818,43,32584,490
佐賀,2538,52950,43,1,2505,23
長崎,3051,117671,146,1,2837,68
熊本,6393,80282,185,11,6100,108
大分,3467,157369,92,3,3316,59
宮崎,3056,43591,36,2,2983,27
鹿児島,3569,107325,190,2,3364,33
沖縄,19404,232351,2266,78,16985,159
(その他),149,-,0,-,149,-
合計,770791,14677832,31250,852,724762,14028
