,2020-03-20,対前日比,うち現在は入院等,,うち退院,,うち死亡,
北海道,157,1,82,52%,69,44%,6,4%
愛知県,130,3,111,85%,3,2%,16,12%
東京都,123,11,96,78%,24,20%,3,2%
大阪府,106,4,83,78%,22,21%,1,1%
兵庫県,76,7,71,93%,1,1%,4,5%
神奈川県,58,1,48,83%,6,10%,4,7%
千葉県,39,5,27,69%,12,31%,0,0%
埼玉県,38,2,32,84%,6,16%,0,0%
京都府,18,1,12,67%,6,33%,0,0%
新潟県,17,0,16,94%,1,6%,0,0%
和歌山県,15,1,6,40%,8,53%,1,7%
群馬県,11,1,11,100%,0,0%,0,0%
高知県,11,0,0,0%,11,100%,0,0%
大分県,6,3,5,83%,1,17%,0,0%
石川県,6,1,4,67%,2,33%,0,0%
熊本県,6,0,6,100%,0,0%,0,0%
三重県,6,0,5,83%,1,17%,0,0%
福岡県,5,0,3,60%,2,40%,0,0%
奈良県,4,0,2,50%,2,50%,0,0%
滋賀県,4,0,4,100%,0,0%,0,0%
沖縄県,3,0,1,33%,2,67%,0,0%
長野県,3,0,2,67%,1,33%,0,0%
岐阜県,3,0,2,67%,1,33%,0,0%
栃木県,3,0,2,67%,1,33%,0,0%
静岡県,3,0,2,67%,1,33%,0,0%
宮崎県,3,0,3,100%,0,0%,0,0%
茨城県,3,0,3,100%,0,0%,0,0%
広島県,2,1,1,50%,1,50%,0,0%
山梨県,2,0,2,100%,0,0%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
山口県,1,0,1,100%,0,0%,0,0%
福井県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,871,42,649,75%,187,21%,35,4%
