都道府県名,陽性者数,検査人数,備考
北海道,158,1652,
青森県,0,85,
岩手県,0,29,
宮城県,1,148,
秋田県,2,114,
山形県,0,133,
福島県,2,132,
茨城県,3,464,
栃木県,3,263,
群馬県,11,173,
埼玉県,41,684,
千葉県,41,,
東京都,135,1848,
神奈川県,65,,
新潟県,21,647,
富山県,0,54,
石川県,8,175,
福井県,1,97,
山梨県,2,337,
長野県,4,306,
岐阜県,3,279,
静岡県,3,,
愛知県,139,847,
三重県,9,318,
滋賀県,4,144,
京都府,21,806,
大阪府,123,2025,
兵庫県,100,1120,
奈良県,8,177,
和歌山県,17,1110,
鳥取県,0,115,
島根県,0,91,
岡山県,0,181,
広島県,2,569,
山口県,3,164,
徳島県,1,83,
香川県,1,133,
愛媛県,3,181,
高知県,12,270,
福岡県,5,626,
佐賀県,1,102,
長崎県,1,213,
熊本県,7,476,
大分県,8,175,
宮崎県,3,179,
鹿児島県,0,171,
沖縄県,3,238,
合計,975,18134,
