都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41294,775042,1210,30,38782,1394
青森,2490,50446,41,0,2418,31
岩手,1670,84243,44,2,1580,46
宮城,9120,156448,58,3,8966,90
秋田,862,15299,88,1,754,20
山形,2020,65627,12,2,1961,47
福島,4868,278371,118,4,4589,161
茨城,10517,33256,256,4,10097,164
栃木,6996,284683,228,12,6687,81
群馬,8032,193138,47,5,7833,152
埼玉,46329,963824,1005,14,44494,830
千葉,40147,681888,1027,17,38415,705
東京,173220,2508865,4148,43,166841,2231
神奈川,67182,1033536,1692,41,64543,947
新潟,3398,170581,38,3,3308,52
富山,2040,73423,43,1,1959,38
石川,3930,121895,31,0,3781,115
福井,1271,68713,164,0,1073,34
山梨,2093,54750,140,1,1933,21
長野,5031,206319,70,1,4945,91
岐阜,9439,269035,117,3,9136,186
静岡,9278,402049,288,5,8840,150
愛知,50922,824829,978,25,48984,960
三重,5253,142045,86,4,5194,111
滋賀,5551,150626,93,6,5368,90
京都,16574,281581,142,12,16175,242
大阪,103275,2138841,1293,149,98507,2668
兵庫,40867,505587,245,17,39337,1288
奈良,8318,168559,199,5,7990,129
和歌山,2680,41777,20,1,2553,49
鳥取,470,82819,3,0,455,2
島根,553,29812,3,1,549,1
岡山,7588,162012,72,8,7385,126
広島,11494,548898,136,12,11170,175
山口,3133,119622,52,1,3004,77
徳島,1656,64645,8,0,1585,63
香川,2095,85319,25,1,2045,30
愛媛,2754,95450,10,3,2669,75
高知,1820,11392,103,8,1692,25
福岡,35482,827716,440,14,34496,520
佐賀,2555,56642,14,0,2553,24
長崎,3178,124230,85,0,3024,69
熊本,6478,81928,70,5,6292,116
大分,3491,167489,29,0,3399,63
宮崎,3076,44176,20,0,3019,27
鹿児島,3671,110866,53,1,3614,38
沖縄,20716,249853,1115,58,19426,181
(その他),149,-,0,-,149,-
合計,795026,15608145,16159,523,763569,14735
