都道府県名,陽性者数 検査人数,,%
北海道,12876,227301,5.7%
青森,422,9115,4.6%
岩手,363,13594,2.7%
宮城,1983,23979,8.3%
秋田,123,4020,3.1%
山形,361,9985,3.6%
福島,865,54539,1.6%
茨城,2280,18432,12.4%
栃木,1207,69676,1.7%
群馬,2134,50358,4.2%
埼玉,13029,302513,4.3%
千葉,10113,219395,4.6%
東京,55851,962086,5.8%
神奈川,19173,334987,5.7%
新潟,503,27142,1.9%
富山,538,21295,2.5%
石川,1022,28720,3.6%
福井,345,18612,1.9%
山梨,509,14417,3.5%
長野,1105,45163,2.4%
岐阜,1978,62489,3.2%
静岡,2539,88334,2.9%
愛知,15183,191017,7.9%
三重,1211,29023,4.2%
滋賀,1062,35847,3.0%
京都,4105,87310,4.7%
大阪,28694,443170,6.5%
兵庫,8989,131315,6.8%
奈良,1843,46358,4.0%
和歌山,594,16235,3.7%
鳥取,84,23151,0.4%
島根,194,9344,2.1%
岡山,1245,31723,3.9%
広島,2815,65962,4.3%
山口,516,26760,1.9%
徳島,195,14889,1.3%
香川,273,22824,1.2%
愛媛,407,12061,3.4%
高知,618,5688,10.9%
福岡,7995,255221,3.1%
佐賀,443,14538,3.0%
長崎,457,37590,1.2%
熊本,1669,33475,5.0%
大分,617,40580,1.5%
宮崎,695,12114,5.7%
鹿児島,920,36020,2.6%
沖縄,5169,86612,6.0%
長崎船,149,0,-
合計,215461,4314979,5.0%
