都道府県名,陽性者数 検査人数,,%
北海道,1163,17390,6.7%
青森,27,910,3.0%
岩手,0,776,0.0%
宮城,88,3291,2.7%
秋田,16,962,1.7%
山形,69,2479,2.8%
福島,81,5563,1.5%
茨城,168,5005,3.4%
栃木,66,5501,1.2%
群馬,151,4349,3.5%
埼玉,1021,26670,3.8%
千葉,919,16476,5.6%
東京,5544,16351,33.9%
神奈川,1402,11129,12.6%
新潟,83,4553,1.8%
富山,227,3642,6.2%
石川,299,2838,10.5%
福井,122,3028,4.0%
山梨,69,4728,1.5%
長野,76,3015,2.5%
岐阜,153,4237,3.6%
静岡,77,3671,2.1%
愛知,513,11171,4.6%
三重,45,2632,1.7%
滋賀,100,2089,4.8%
京都,360,8953,4.0%
大阪,1786,35176,5.1%
兵庫,699,11932,5.9%
奈良,92,3240,2.8%
和歌山,63,3853,1.6%
鳥取,3,1422,0.2%
島根,24,1200,2.0%
岡山,25,1827,1.4%
広島,168,7393,2.3%
山口,37,1929,1.9%
徳島,5,819,0.6%
香川,28,2380,1.2%
愛媛,82,2510,3.3%
高知,74,1893,3.9%
福岡,822,14926,5.5%
佐賀,47,1552,3.0%
長崎,17,3019,0.6%
熊本,48,4092,1.2%
大分,60,4409,1.4%
宮崎,17,1470,1.2%
鹿児島,11,2289,0.5%
沖縄,142,2957,4.8%
長崎船,149,-,-
合計,17238,281697,6.1%
