都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1163,17390,122,10,950,91
青   森,27,910,0,0,26,1
岩    手,0,776,0,0,0,0
宮    城,88,3291,0,0,87,1
秋  田,16,962,0,0,16,0
山    形,69,2479,2,1,67,0
福    島,81,5563,2,0,79,0
茨    城,168,5005,3,0,155,10
栃    木,66,5501,1,0,65,0
群    馬,151,4349,5,0,127,19
埼    玉,1021,26670,27,4,943,51
千    葉,919,16476,28,3,846,45
東    京,5544,16351,364,19,4866,314
神 奈 川,1402,11129,100,15,1213,89
新    潟,83,4553,1,0,81,0
富    山,227,3642,3,0,202,22
石    川,299,2838,31,2,241,27
福    井,122,3028,1,1,113,8
山    梨,69,4728,1,0,67,1
長    野,76,3015,3,0,73,-
岐    阜,153,4237,3,2,143,7
静    岡,77,3671,3,0,73,1
愛    知,513,11171,10,0,467,34
三    重,45,2632,0,0,44,1
滋    賀,100,2089,1,1,98,1
京    都,360,8953,4,0,338,18
大    阪,1786,35176,31,9,1668,85
兵    庫,699,11932,3,0,653,43
奈    良,92,3240,0,0,90,2
和 歌 山,63,3853,0,0,60,3
鳥    取,3,1422,0,0,3,0
島    根,24,1200,1,1,23,0
岡    山,25,1827,0,-,25,-
広    島,168,7393,0,0,165,3
山    口,37,1929,1,1,36,0
徳    島,5,819,0,0,4,1
香    川,28,2380,0,0,28,0
愛    媛,82,2510,9,0,69,4
高    知,74,1893,0,0,71,3
福    岡,822,14926,57,2,737,28
佐    賀,47,1552,0,0,47,0
長    崎,17,3019,0,0,16,1
熊    本,48,4092,0,0,45,3
大    分,60,4409,0,0,59,1
宮    崎,17,1470,0,0,17,0
鹿 児 島,11,2289,1,0,10,0
沖    縄,142,2957,0,0,139,7
(その他),149,-,1,-,148,-
合計,17238,281697,819,71,15493,925
