都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,20862,442490,787,15,19345,744
青森,944,24574,57,0,867,20
岩手,609,43225,30,0,549,30
宮城,5654,87357,1364,10,4260,30
秋田,283,7572,9,0,268,6
山形,888,34310,288,0,584,16
福島,2473,146130,281,10,2082,110
茨城,6674,26346,317,1,6231,126
栃木,4561,170669,165,2,4326,70
群馬,4963,111044,176,3,4688,99
埼玉,32569,650639,1389,37,30481,699
千葉,29447,472210,1130,24,27754,563
東京,120208,1743354,3090,40,115381,1737
神奈川,47838,686151,855,23,46206,777
新潟,1400,80512,166,1,1216,18
富山,933,41148,19,1,886,28
石川,1901,59387,12,0,1823,64
福井,573,35097,24,0,524,25
山梨,962,30877,5,0,938,19
長野,2731,114683,216,0,2496,41
岐阜,4926,156251,117,2,4685,124
静岡,5658,241982,200,2,5343,115
愛知,27169,457264,638,9,25956,575
三重,2717,76136,107,3,2620,70
滋賀,2740,85893,82,4,2604,54
京都,9415,174407,194,2,9058,168
大阪,51170,1028023,2465,83,47115,1178
兵庫,19603,291766,1009,64,18010,584
奈良,3678,94777,203,4,3421,54
和歌山,1257,26382,68,2,1147,18
鳥取,213,46740,2,0,205,2
島根,286,17590,1,0,285,0
岡山,2649,78444,76,4,2524,35
広島,5124,178091,54,1,4957,106
山口,1409,66920,17,0,1349,43
徳島,526,31645,65,2,443,18
香川,795,50326,29,1,751,18
愛媛,1302,38564,229,0,1049,24
高知,914,7434,9,2,886,19
福岡,18942,503318,397,7,18214,331
佐賀,1183,31591,38,1,1153,13
長崎,1628,76327,14,0,1577,38
熊本,3498,57975,21,2,3405,74
大分,1307,91008,8,1,1277,22
宮崎,1954,24808,1,0,1924,22
鹿児島,1817,72635,48,0,1764,28
沖縄,9284,163067,587,5,8575,128
(その他),149,-,0,-,149,-
合計,467786,9177139,17059,368,441351,9083
