都道府県名,陽性者数 検査人数,,%
北海道,18717,364021,5.1%
青森,812,17021,4.8%
岩手,549,23571,2.3%
宮城,3530,65664,5.4%
秋田,269,6949,3.9%
山形,537,17055,3.1%
福島,1867,103670,1.8%
茨城,5498,24712,22.2%
栃木,4012,119546,3.4%
群馬,4354,88125,4.9%
埼玉,28450,525732,5.4%
千葉,25291,384075,6.6%
東京,109135,1474444,7.4%
神奈川,43854,565643,7.8%
新潟,1028,41618,2.5%
富山,897,34876,2.6%
石川,1760,47747,3.7%
福井,542,30269,1.8%
山梨,934,24827,3.8%
長野,2354,94428,2.5%
岐阜,4652,126785,3.7%
静岡,4963,176824,2.8%
愛知,25442,371954,6.8%
三重,2454,60178,4.1%
滋賀,2361,66582,3.5%
京都,8975,149842,6.0%
大阪,46427,747958,6.2%
兵庫,17706,235126,7.5%
奈良,3326,78866,4.2%
和歌山,1158,24142,4.8%
鳥取,207,38945,0.5%
島根,281,14340,2.0%
岡山,2461,60138,4.1%
広島,4992,149155,3.3%
山口,1366,55951,2.4%
徳島,446,25280,1.8%
香川,731,42942,1.7%
愛媛,1044,31147,3.4%
高知,884,7089,12.5%
福岡,17656,424382,4.2%
佐賀,996,26541,3.8%
長崎,1590,64938,2.4%
熊本,3432,56279,6.1%
大分,1280,75808,1.7%
宮崎,1943,24614,7.9%
鹿児島,1743,64980,2.7%
沖縄,8047,140309,5.7%
長崎船,149,0,-
合計,421102,7395088,5.7%
