都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,19151,383402,543,4,17944,684
青森,817,17538,26,1,771,20
岩手,554,26980,7,0,517,30
宮城,3644,69021,103,3,3516,25
秋田,269,7093,1,0,262,6
山形,543,27509,13,0,515,15
福島,1969,114201,121,10,1777,71
茨城,5826,24927,338,6,5374,114
栃木,4113,126997,129,1,3917,67
群馬,4528,93316,183,3,4260,85
埼玉,29509,556745,1223,40,27705,581
千葉,26609,412934,1518,28,24630,461
東京,112029,1549018,3083,54,107546,1400
神奈川,45035,598496,1007,28,43345,683
新潟,1091,45331,80,1,996,15
富山,905,36568,10,1,867,28
石川,1862,52013,120,6,1700,62
福井,545,32299,4,0,516,25
山梨,939,25903,6,0,916,17
長野,2364,99792,12,0,2343,41
岐阜,4741,136143,143,7,4487,111
静岡,5169,225684,196,0,4880,93
愛知,25892,396412,621,31,24749,522
三重,2541,63656,131,7,2434,54
滋賀,2481,73689,125,5,2309,47
京都,9067,156506,279,2,8651,156
大阪,47260,797194,1023,83,44700,1123
兵庫,17989,250215,374,41,17081,534
奈良,3368,82825,56,5,3265,47
和歌山,1164,24566,9,2,1113,18
鳥取,210,41592,3,0,202,2
島根,284,15625,5,0,279,0
岡山,2488,66389,53,2,2389,32
広島,5026,157847,30,3,4887,102
山口,1384,58758,49,0,1296,39
徳島,452,26727,23,2,413,16
香川,755,44840,22,0,715,18
愛媛,1064,32544,36,2,1005,23
高知,887,7092,4,0,866,17
福岡,18078,446689,548,20,17237,293
佐賀,1067,28437,64,1,1014,8
長崎,1612,67874,33,1,1543,36
熊本,3445,56819,34,3,3340,72
大分,1294,80401,25,0,1248,21
宮崎,1953,24724,20,1,1905,21
鹿児島,1762,67958,32,2,1729,27
沖縄,8217,145750,273,1,7829,120
(その他),149,-,0,-,149,-
合計,432101,7877039,12738,407,411132,7982
