都道府県名,陽性者数 検査人数,,%
北海道,19151,383402,5.0%
青森,817,17538,4.7%
岩手,554,26980,2.1%
宮城,3644,69021,5.3%
秋田,269,7093,3.8%
山形,543,27509,2.0%
福島,1969,114201,1.7%
茨城,5826,24927,23.4%
栃木,4113,126997,3.2%
群馬,4528,93316,4.9%
埼玉,29509,556745,5.3%
千葉,26609,412934,6.4%
東京,112029,1549018,7.2%
神奈川,45035,598496,7.5%
新潟,1091,45331,2.4%
富山,905,36568,2.5%
石川,1862,52013,3.6%
福井,545,32299,1.7%
山梨,939,25903,3.6%
長野,2364,99792,2.4%
岐阜,4741,136143,3.5%
静岡,5169,225684,2.3%
愛知,25892,396412,6.5%
三重,2541,63656,4.0%
滋賀,2481,73689,3.4%
京都,9067,156506,5.8%
大阪,47260,797194,5.9%
兵庫,17989,250215,7.2%
奈良,3368,82825,4.1%
和歌山,1164,24566,4.7%
鳥取,210,41592,0.5%
島根,284,15625,1.8%
岡山,2488,66389,3.7%
広島,5026,157847,3.2%
山口,1384,58758,2.4%
徳島,452,26727,1.7%
香川,755,44840,1.7%
愛媛,1064,32544,3.3%
高知,887,7092,12.5%
福岡,18078,446689,4.0%
佐賀,1067,28437,3.8%
長崎,1612,67874,2.4%
熊本,3445,56819,6.1%
大分,1294,80401,1.6%
宮崎,1953,24724,7.9%
鹿児島,1762,67958,2.6%
沖縄,8217,145750,5.6%
長崎船,149,0,-
合計,432101,7877039,5.5%
