都道府県名,陽性者数 検査人数,,%
北海道,7369,130771,5.6%
青森,281,6408,4.4%
,155,8148,1.9%
宮城,1116,18148,6.1%
秋田,75,3447,2.2%
山形,109,7282,1.5%
福島,479,38113,1.3%
茨城,1310,15503,8.4%
栃木,584,51535,1.1%
群馬,1069,34433,3.1%
埼玉,7745,222779,3.5%
千葉,6489,157252,4.1%
東京,38197,720173,5.3%
神奈川,11480,239610,4.8%
新潟,316,21341,1.5%
富山,446,16271,2.7%
石川,836,20734,4.0%
福井,304,13667,2.2%
山梨,327,13174,2.5%
⾧野,629,28896,2.2%
岐阜,939,31654,3.0%
静岡,1294,52936,2.4%
,8914,126390,7.1%
三重,737,18271,4.0%
滋賀,747,25764,2.9%
京都,2508,61907,4.1%
大阪,18140,298441,6.1%
,4852,86664,5.6%
奈良,1026,30816,3.3%
和歌山,403,12562,3.2%
鳥取,54,15678,0.3%
島根,142,6498,2.2%
岡山,515,17220,3.0%
広島,762,32679,2.3%
山口,356,13795,2.6%
徳島,179,7753,2.3%
香川,132,16011,0.8%
愛媛,251,5657,4.4%
高知,148,3736,4.0%
,5552,190922,2.9%
佐賀,297,8987,3.3%
⾧崎,262,25842,1.0%
熊本,974,23109,4.2%
大分,228,25092,0.9%
宮崎,439,9200,4.8%
鹿児島,592,26482,2.2%
沖縄,4031,68472,5.9%
⾧崎船,149,0,-
合計,133939,3010223,4.4%
