都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,7369,130771,2307,19,4910,152
青 森,281,6408,15,2,260,6
岩手,155,8148,100,1,54,1
宮城,1116,18148,193,8,914,9
秋  田,75,3447,4,0,69,1
山形,109,7282,20,0,89,1
福島,479,38113,60,4,413,6
茨城,1310,15503,307,8,984,19
栃木,584,51535,80,6,504,2
群馬,1069,34433,101,2,931,21
埼玉,7745,222779,984,19,6628,133
千葉,6489,157252,777,9,5626,86
東京,38197,720173,3754,51,33964,479
神奈川,11480,239610,1271,57,10024,185
新潟,316,21341,101,0,215,0
富山,446,16271,20,0,400,26
石川,836,20734,9,0,778,49
福井,304,13667,30,0,263,11
山梨,327,13174,52,2,268,7
長野,629,28896,117,0,473,6
岐阜,939,31654,134,1,792,13
静岡,1294,52936,453,2,837,4
愛知,8914,126390,1589,17,7216,109
三重,737,18271,134,5,596,7
滋賀,747,25764,91,0,647,9
京都,2508,61907,249,4,2224,35
大阪,18140,298441,3210,103,14629,282
兵庫,4852,86664,712,28,4061,79
奈良,1026,30816,202,4,813,11
和歌山,403,12562,80,6,313,4
鳥取,54,15678,7,0,46,0
島根,142,6498,1,0,141,0
岡山,515,17220,109,3,310,11
広島,762,32679,67,0,688,6
山口,356,13795,120,1,230,2
徳島,179,7753,11,2,161,9
香川,132,16011,22,0,108,2
愛媛,251,5657,123,3,122,6
高知,148,3736,4,0,140,4
福岡,5552,190922,187,3,5259,106
佐賀,297,8987,18,0,280,1
長崎,262,25842,14,0,245,3
熊本,974,23109,71,2,881,12
大分,228,25092,61,0,164,3
宮崎,439,9200,65,1,374,1
鹿児島,592,26482,48,0,537,13
沖縄,4031,68472,304,3,3664,68
(その他),149,-,0,-,149,-
合計,133939,3010223,18388,376,113394,2000
