都道府県名,陽性者数 検査人数,,%
北海道,13685,242370,5.6%
青森,506,10014,5.1%
岩手,394,14494,2.7%
宮城,2232,24910,9.0%
秋田,146,4565,3.2%
山形,397,10193,3.9%
福島,983,58511,1.7%
茨城,2560,18572,13.8%
栃木,1662,73728,2.3%
群馬,2412,52671,4.6%
埼玉,14937,322873,4.6%
千葉,11683,227912,5.1%
東京,62590,996675,6.3%
神奈川,22480,342311,6.6%
新潟,565,28372,2.0%
富山,572,21742,2.6%
石川,1105,30157,3.7%
福井,359,19660,1.8%
山梨,568,14525,3.9%
長野,1242,48235,2.6%
岐阜,2442,66112,3.7%
静岡,2788,94030,3.0%
愛知,16905,199918,8.5%
三重,1324,30675,4.3%
滋賀,1260,38138,3.3%
京都,4803,95241,5.0%
大阪,30772,472962,6.5%
兵庫,10236,142967,7.2%
奈良,2108,47698,4.4%
和歌山,652,16669,3.9%
鳥取,123,24313,0.5%
島根,214,9344,2.3%
岡山,1440,31723,4.5%
広島,3466,75233,4.6%
山口,597,26760,2.2%
徳島,199,15373,1.3%
香川,311,24487,1.3%
愛媛,484,13766,3.5%
高知,687,5995,11.5%
福岡,8774,268262,3.3%
佐賀,477,15063,3.2%
長崎,703,40149,1.8%
熊本,1947,37210,5.2%
大分,720,43455,1.7%
宮崎,759,12454,6.1%
鹿児島,1033,40094,2.6%
沖縄,5451,90347,6.0%
長崎船,149,0,-
合計,241902,4540928,5.3%
