都道府県名,陽性者数,検査人数,備考
北海道,198,2476,
青森県,11,249,
岩手県,0,104,
宮城県,27,609,
秋田県,11,443,
山形県,19,527,
福島県,24,346,
茨城県,77,1927,
栃木県,15,784,
群馬県,29,1380,
埼玉県,209,1776,HP
千葉県,284,3069,
東京都,1203,4757,
神奈川県,279,1996,
新潟県,34,1413,
富山県,12,435,
石川県,51,430,
福井県,57,378,
山梨県,19,828,
長野県,14,762,
岐阜県,51,988,
静岡県,10,1221,
愛知県,258,3295,
三重県,13,781,
滋賀県,18,379,
京都府,139,1683,
大阪府,482,1792,
兵庫県,216,3151,
奈良県,28,452,
和歌山県,28,1702,
鳥取県,0,249,
島根県,0,170,
岡山県,12,496,
広島県,19,1380,
山口県,13,455,
徳島県,3,193,
香川県,2,398,
愛媛県,23,418,
高知県,36,591,
福岡県,136,2718,
佐賀県,9,245,
長崎県,9,709,
熊本県,21,1461,
大分県,32,1862,
宮崎県,7,453,
鹿児島県,3,449,
沖縄県,27,521,
合計,4168,52901,
