都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者うち重症,,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,5055,103685,1608,18,3324,123
青 森,278,6145,37,2,235,6
岩手,64,6072,36,0,28,0
宮城,973,16120,187,3,778,8
秋  田,71,2695,6,1,65,0
山形,96,6994,12,0,83,1
福島,431,34974,36,3,389,6
茨城,946,14703,149,3,779,18
栃木,513,47989,23,4,490,1
群馬,951,32830,41,3,890,20
埼玉,6741,206725,758,10,5864,119
千葉,5721,142896,546,7,5091,84
東京,34496,664117,2658,41,31368,470
神奈川,10042,220848,878,28,8982,182
新潟,224,19616,40,0,184,0
富山,425,15642,2,0,397,26
石川,828,19693,13,0,766,49
福井,272,12229,15,0,246,11
山梨,275,12472,49,1,220,6
長野,448,25663,102,0,345,6
岐阜,800,29255,95,0,693,12
静岡,822,48055,133,2,687,2
愛知,7447,113664,1020,12,6327,100
三重,616,17127,45,3,564,7
滋賀,655,14966,87,0,559,9
京都,2222,55975,126,1,2065,31
大阪,15155,269000,1796,62,13080,260
兵庫,3816,76513,345,19,3399,72
奈良,835,27245,152,2,672,11
和歌山,318,11045,37,3,272,4
鳥取,52,6090,11,0,41,0
島根,141,6354,0,0,141,0
岡山,379,14762,79,1,259,10
広島,688,29759,23,1,658,5
山口,258,12510,44,1,211,2
徳島,171,7654,7,0,156,9
香川,114,14893,11,0,101,2
愛媛,123,4583,7,0,110,6
高知,144,3688,0,0,140,4
福岡,5367,179430,114,4,5156,104
佐賀,278,8030,13,0,266,1
長崎,249,24525,3,0,242,3
熊本,903,21470,54,4,815,9
大分,164,23066,3,0,158,3
宮崎,373,8829,3,1,370,1
鹿児島,542,24653,67,0,470,13
沖縄,3696,65248,288,3,3347,66
(その他),149,-,0,-,149,-
合計,115327,2730497,11759,243,101632,1882
