都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,40794,747698,2992,31,36579,1331
青森,2452,48602,37,0,2384,31
岩手,1620,81041,104,1,1470,46
宮城,9057,152612,94,6,8873,85
秋田,764,14175,11,1,733,20
山形,2017,63367,44,3,1927,46
福島,4741,266441,111,5,4472,158
茨城,10200,33055,271,7,9769,160
栃木,6739,277026,206,12,6453,80
群馬,7994,186051,93,9,7752,149
埼玉,45317,931424,963,31,43530,824
千葉,38816,655910,919,20,37198,699
東京,167868,2418818,3463,40,162215,2190
神奈川,64890,993124,1684,43,62275,931
新潟,3382,159432,111,6,3224,47
富山,1985,69871,63,2,1885,37
石川,3894,115414,83,2,3694,114
福井,1077,62368,27,0,1016,34
山梨,1868,47764,208,2,1640,20
長野,4949,193863,90,2,4843,90
岐阜,9318,259551,251,12,8884,183
静岡,8946,384158,383,5,8418,145
愛知,50070,786356,2162,59,46998,910
三重,5164,134562,129,6,5062,109
滋賀,5470,143664,207,6,5175,88
京都,16415,272814,307,17,15858,233
大阪,102144,2005970,3009,227,95736,2567
兵庫,40611,488823,498,36,38845,1270
奈良,8121,161770,145,11,7854,122
和歌山,2655,41232,19,4,2532,48
鳥取,466,80363,3,0,454,2
島根,551,29236,10,1,541,1
岡山,7568,153838,269,7,7125,123
広島,11302,527692,310,18,10758,164
山口,3090,116931,135,2,2884,71
徳島,1650,62522,20,0,1567,63
香川,2079,82584,55,4,2000,29
愛媛,2745,91656,19,4,2651,75
高知,1699,10753,93,8,1583,23
福岡,35112,800025,1096,42,33475,507
佐賀,2543,54102,17,1,2537,23
長崎,3087,119706,90,1,2928,69
熊本,6425,80655,105,8,6209,111
大分,3475,160709,60,1,3355,60
宮崎,3062,43829,25,0,3000,27
鹿児島,3621,108760,152,2,3466,33
沖縄,19881,240693,1826,70,17894,167
(その他),149,-,0,-,149,-
合計,777843,14961010,22969,775,739870,14315
