都道府県名,陽性者数 検査人数,,%
北海道,40794,747698,5.5%
青森,2452,48602,5.0%
岩手,1620,81041,2.0%
宮城,9057,152612,5.9%
秋田,764,14175,5.4%
山形,2017,63367,3.2%
福島,4741,266441,1.8%
茨城,10200,33055,30.9%
栃木,6739,277026,2.4%
群馬,7994,186051,4.3%
埼玉,45317,931424,4.9%
千葉,38816,655910,5.9%
東京,167868,2418818,6.9%
神奈川,64890,993124,6.5%
新潟,3382,159432,2.1%
富山,1985,69871,2.8%
石川,3894,115414,3.4%
福井,1077,62368,1.7%
山梨,1868,47764,3.9%
長野,4949,193863,2.6%
岐阜,9318,259551,3.6%
静岡,8946,384158,2.3%
愛知,50070,786356,6.4%
三重,5164,134562,3.8%
滋賀,5470,143664,3.8%
京都,16415,272814,6.0%
大阪,102144,2005970,5.1%
兵庫,40611,488823,8.3%
奈良,8121,161770,5.0%
和歌山,2655,41232,6.4%
鳥取,466,80363,0.6%
島根,551,29236,1.9%
岡山,7568,153838,4.9%
広島,11302,527692,2.1%
山口,3090,116931,2.6%
徳島,1650,62522,2.6%
香川,2079,82584,2.5%
愛媛,2745,91656,3.0%
高知,1699,10753,15.8%
福岡,35112,800025,4.4%
佐賀,2543,54102,4.7%
長崎,3087,119706,2.6%
熊本,6425,80655,8.0%
大分,3475,160709,2.2%
宮崎,3062,43829,7.0%
鹿児島,3621,108760,3.3%
沖縄,19881,240693,8.3%
長崎船,149,0,-
合計,777843,14961010,5.2%
