都道府県名,陽性者数 検査人数,,%
北海道,20742,439605,4.7%
青森,932,24302,3.8%
岩手,604,42694,1.4%
宮城,5427,86294,6.3%
秋田,283,7420,3.8%
山形,831,32862,2.5%
福島,2415,141389,1.7%
茨城,6600,26008,25.4%
栃木,4526,169536,2.7%
群馬,4929,110174,4.5%
埼玉,32353,634717,5.1%
千葉,29245,470206,6.2%
東京,119661,1733095,6.9%
神奈川,47681,680128,7.0%
新潟,1380,79392,1.7%
富山,933,40917,2.3%
石川,1901,59310,3.2%
福井,568,35009,1.6%
山梨,956,30877,3.1%
長野,2679,112377,2.4%
岐阜,4909,156160,3.1%
静岡,5619,237667,2.4%
愛知,27025,451860,6.0%
三重,2695,76136,3.5%
滋賀,2731,85590,3.2%
京都,9337,172896,5.4%
大阪,50634,1009996,5.0%
兵庫,19346,289285,6.7%
奈良,3618,93746,3.9%
和歌山,1244,26185,4.8%
鳥取,211,46269,0.5%
島根,286,17590,1.6%
岡山,2642,78444,3.4%
広島,5107,178091,2.9%
山口,1406,66920,2.1%
徳島,514,31287,1.6%
香川,782,50108,1.6%
愛媛,1251,38125,3.3%
高知,914,7434,12.3%
福岡,18881,501511,3.8%
佐賀,1170,31434,3.7%
長崎,1626,75701,2.1%
熊本,3495,57733,6.1%
大分,1304,90972,1.4%
宮崎,1953,24807,7.9%
鹿児島,1800,72126,2.5%
沖縄,9175,161688,5.7%
長崎船,149,0,-
合計,464470,9086073,5.1%
