都道府県名,陽性者数 検査人数,,%
北海道,38213,685540,5.6%
青森,2368,45006,5.3%
岩手,1448,73756,2.0%
宮城,8874,144763,6.1%
秋田,758,13807,5.5%
山形,1964,59739,3.3%
福島,4588,241742,1.9%
茨城,9759,32662,29.9%
栃木,6375,263096,2.4%
群馬,7838,169017,4.6%
埼玉,43891,883013,5.0%
千葉,37209,614088,6.1%
東京,161426,2291661,7.0%
神奈川,61675,932095,6.6%
新潟,3229,145334,2.2%
富山,1883,64552,2.9%
石川,3772,93320,4.0%
福井,1040,59345,1.8%
山梨,1550,43111,3.6%
長野,4807,180225,2.7%
岐阜,8858,239832,3.7%
静岡,8423,354701,2.4%
愛知,47233,710987,6.6%
三重,4936,123611,4.0%
滋賀,5136,129104,4.0%
京都,15855,255468,6.2%
大阪,99920,1835542,5.4%
兵庫,39705,460466,8.6%
奈良,7914,152910,5.2%
和歌山,2621,40302,6.5%
鳥取,466,73347,0.6%
島根,542,26359,2.1%
岡山,7360,138031,5.3%
広島,10691,400384,2.7%
山口,2939,103923,2.8%
徳島,1631,58691,2.8%
香川,2012,77518,2.6%
愛媛,2718,87384,3.1%
高知,1493,9897,15.1%
福岡,34185,751432,4.5%
佐賀,2510,50450,5.0%
長崎,2906,112248,2.6%
熊本,6249,78715,7.9%
大分,3386,146890,2.3%
宮崎,3034,42796,7.1%
鹿児島,3352,101801,3.3%
沖縄,17267,220905,7.8%
長崎船,149,0,-
合計,746158,13819566,5.4%
