都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1091,14421,195,11,810,86
青   森,27,853,0,0,26,1
岩    手,0,672,0,0,0,0
宮    城,88,2950,0,0,87,1
秋  田,16,933,0,0,16,0
山    形,69,2660,3,1,66,0
福    島,81,4489,6,0,75,0
茨    城,168,4684,6,0,152,10
栃    木,65,3909,12,2,53,0
群    馬,149,3662,9,1,121,19
埼    玉,1003,20933,59,5,896,48
千    葉,909,14814,49,4,815,45
東    京,5249,15212,405,29,4539,305
神 奈 川,1370,9637,184,24,1102,84
新    潟,83,4180,3,0,79,0
富    山,227,3190,15,0,190,22
石    川,298,2727,52,2,221,25
福    井,122,2638,2,1,112,8
山    梨,64,4038,4,0,59,1
⾧    野,76,2727,7,0,69,-
岐    阜,151,3614,3,1,141,7
静    岡,76,3526,2,0,73,1
愛    知,508,10142,12,0,457,34
三    重,45,2508,0,0,44,1
滋    賀,100,1859,8,1,91,1
京    都,358,8085,16,1,325,17
大    阪,1783,31276,102,16,1594,83
兵    庫,699,11153,27,5,630,42
奈    良,92,2545,2,0,88,2
和 歌 山,63,3708,3,0,57,3
鳥    取,3,1343,0,0,3,0
島    根,24,1128,2,1,22,0
岡    山,25,1709,0,-,25,-
広    島,168,6979,7,0,158,3
山    口,37,1758,2,1,35,0
徳    島,5,744,0,0,4,1
香    川,28,2192,0,0,28,0
愛    媛,82,2208,26,1,52,4
高    知,74,1798,0,0,71,3
福    岡,758,12810,107,4,625,26
佐    賀,47,1418,3,0,42,0
⾧    崎,17,2770,0,0,16,1
熊    本,48,3930,2,0,43,3
大    分,60,4003,1,0,58,1
宮    崎,17,1386,0,0,17,0
鹿 児 島,10,1871,0,0,10,0
沖    縄,142,2870,3,2,137,6
(その他),149,-,2,-,147,-
合計,16724,248662,1341,113,14481,894
