都道府県名,陽性者数 検査人数,,%
北海道,1091,14421,7.6%
青森,27,853,3.2%
岩手,0,672,0.0%
宮城,88,2950,3.0%
秋田,16,933,1.7%
山形,69,2660,2.6%
福島,81,4489,1.8%
茨城,168,4684,3.6%
栃木,65,3909,1.7%
群馬,149,3662,4.1%
埼玉,1003,20933,4.8%
千葉,909,14814,6.1%
東京,5249,15212,34.5%
神奈川,1370,9637,14.2%
新潟,83,4180,2.0%
富山,227,3190,7.1%
石川,298,2727,10.9%
福井,122,2638,4.6%
山梨,64,4038,1.6%
⾧野,76,2727,2.8%
岐阜,151,3614,4.2%
静岡,76,3526,2.2%
愛知,508,10142,5.0%
三重,45,2508,1.8%
滋賀,100,1859,5.4%
京都,358,8085,4.4%
大阪,1783,31276,5.7%
兵庫,699,11153,6.3%
奈良,92,2545,3.6%
和歌山,63,3708,1.7%
鳥取,3,1343,0.2%
島根,24,1128,2.1%
岡山,25,1709,1.5%
広島,168,6979,2.4%
山口,37,1758,2.1%
徳島,5,744,0.7%
香川,28,2192,1.3%
愛媛,82,2208,3.7%
高知,74,1798,4.1%
福岡,758,12810,5.9%
佐賀,47,1418,3.3%
⾧崎,17,2770,0.6%
熊本,48,3930,1.2%
大分,60,4003,1.5%
宮崎,17,1386,1.2%
鹿児島,10,1871,0.5%
沖縄,142,2870,4.9%
⾧崎船,149,-,-
合計,16724,248662,6.7%
