都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,12961,229609,1598,25,10906,434
青森,428,9237,44,1,377,7
岩手,372,13693,65,3,285,22
宮城,2035,24089,452,5,1569,14
秋田,125,4020,30,0,94,1
山形,365,10057,86,6,275,4
福島,886,55218,233,5,636,17
茨城,2307,18432,227,7,2045,35
栃木,1235,70531,300,9,935,6
群馬,2172,50358,343,9,1756,35
埼玉,13240,302712,2691,46,10353,196
千葉,10218,220069,1801,20,8303,114
東京,56559,962086,7510,82,48442,607
神奈川,19516,334987,2423,61,16834,259
新潟,505,27246,95,0,410,3
富山,541,21295,56,1,459,26
石川,1034,28990,114,7,875,50
福井,346,18724,16,2,319,11
山梨,509,14417,45,3,453,11
長野,1126,45163,132,2,991,13
岐阜,2023,62735,411,9,1581,31
静岡,2568,88334,471,5,2059,38
愛知,15448,191017,2321,40,12933,194
三重,1225,29023,145,4,1064,16
滋賀,1087,36012,199,2,877,11
京都,4105,87310,813,17,3282,45
大阪,28927,446674,3441,161,24942,544
兵庫,9163,132820,1120,47,7871,172
奈良,1882,46358,345,10,1515,22
和歌山,594,16235,26,5,550,7
鳥取,87,23190,20,0,65,0
島根,202,9344,27,1,175,0
岡山,1266,31723,384,8,762,13
広島,2925,65962,493,15,1580,18
山口,524,26760,97,2,420,3
徳島,195,14949,7,0,179,9
香川,282,23175,83,0,196,3
愛媛,415,12107,56,4,348,11
高知,626,5727,159,8,461,6
福岡,8155,255221,1273,12,6765,117
佐賀,445,14579,53,1,394,3
長崎,457,37729,175,2,298,3
熊本,1669,33475,151,3,1337,16
大分,620,40661,75,5,540,5
宮崎,710,12114,72,0,638,5
鹿児島,946,36020,102,1,844,13
沖縄,5199,86755,318,5,4805,81
(その他),149,-,0,-,149,-
合計,218374,4326942,31098,661,182947,3251
