都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1102,14931,183,11,831,88
青   森,27,875,0,0,26,1
岩    手,0,699,0,0,0,0
宮    城,88,3012,0,0,87,1
秋  田,16,940,0,0,16,0
山    形,69,2422,3,1,66,0
福    島,81,4765,5,0,76,0
茨    城,168,4746,3,0,155,10
栃    木,66,4438,10,0,57,0
群    馬,149,3796,8,1,122,19
埼    玉,1005,22634,43,4,912,50
千    葉,907,15076,24,4,838,45
東    京,5323,15498,368,27,4648,307
神 奈 川,1381,10210,143,17,1151,87
新    潟,83,4291,1,0,81,0
富    山,227,3454,9,0,196,22
石    川,298,2758,39,2,233,26
福    井,122,2756,2,1,112,8
山    梨,65,4202,4,0,60,1
長    野,76,2801,5,0,71,-
岐    阜,151,3766,3,1,141,7
静    岡,76,3566,2,0,73,1
愛    知,509,10284,10,0,460,34
三    重,45,2552,0,0,44,1
滋    賀,100,1911,5,1,94,1
京    都,358,8354,10,0,331,17
大    阪,1783,32063,85,15,1610,84
兵    庫,699,11368,16,4,641,42
奈    良,92,2898,1,0,89,2
和 歌 山,63,3743,0,0,60,3
鳥    取,3,1363,0,0,3,0
島    根,24,1142,1,1,23,0
岡    山,25,1738,0,-,25,-
広    島,167,7104,2,0,162,3
山    口,37,1794,1,1,36,0
徳    島,5,761,0,0,4,1
香    川,28,2245,0,0,28,0
愛    媛,82,2373,23,1,55,4
高    知,74,1818,0,0,71,3
福    岡,786,13523,127,5,632,27
佐    賀,47,1449,0,0,45,0
長    崎,17,2844,0,0,16,1
熊    本,48,3974,1,0,44,3
大    分,60,4127,1,0,58,1
宮    崎,17,1407,0,0,17,0
鹿 児 島,10,1964,0,0,10,0
沖    縄,142,2895,2,1,137,7
(その他),149,-,1,-,148,-
合計,16850,257330,1141,98,14795,907
