都道府県名,陽性者数,検査人数,%,備考
北海道,267,2836,9.4%,HP 4/10時点
青森県,22,313,7.0%,4/10時点
岩手県,0,136,0.0%,4/10時点
宮城県,52,660,7.9%,4/10時点
秋田県,15,491,3.1%,4/10時点
山形県,34,782,4.3%,4/10時点
福島県,38,541,7.0%,4/10時点
茨城県,109,2221,4.9%,4/10時点
栃木県,35,1003,3.5%,4/10時点
群馬県,90,1495,6.0%,
埼玉県,386,2216,17.4%,HP 4/10時点
千葉県,455,1743,26.1%,
東京都,2080,5660,36.7%,4/9時点
神奈川県,478,2604,18.4%,
新潟県,42,1587,2.6%,4/10時点
富山県,30,646,4.6%,
石川県,113,562,20.1%,4/10時点
福井県,88,515,17.1%,
山梨県,35,1013,3.5%,4/10時点
長野県,29,899,3.2%,
岐阜県,105,1185,8.9%,
静岡県,41,1426,2.9%,4/10時点
愛知県,319,3990,8.0%,HP 4/9時点
三重県,17,906,1.9%,4/10時点
滋賀県,38,487,7.8%,4/10時点
京都府,193,1968,9.8%,4/10時点
大阪府,812,2362,34.4%,
兵庫県,375,3830,9.8%,
奈良県,41,539,7.6%,
和歌山県,34,1989,1.7%,HP
鳥取県,1,299,0.3%,4/10時点
島根県,7,205,3.4%,4/10時点
岡山県,16,595,2.7%,4/9時点
広島県,56,1754,3.2%,HP
山口県,23,557,4.1%,4/10時点
徳島県,3,228,1.3%,4/10時点
香川県,8,480,1.7%,4/10時点
愛媛県,30,545,5.5%,4/10  9:00時点
高知県,60,814,7.4%,
福岡県,362,4137,8.8%,
佐賀県,13,367,3.5%,
長崎県,14,933,1.5%,4/10時点
熊本県,28,1728,1.6%,
大分県,42,2070,2.0%,4/10時点
宮崎県,17,612,2.8%,
鹿児島県,4,523,0.8%,4/10時点
沖縄県,66,680,9.7%,4/10時点
合計,7123,63132,11.3%,
