都道府県名,陽性者数 検査人数,,%
北海道,1845,47800,3.9%
青森,35,2163,1.6%
岩手,23,3467,0.7%
宮城,256,8452,3.0%
秋田,50,1846,2.7%
山形,78,3137,2.5%
福島,186,16269,1.1%
茨城,589,11470,5.1%
栃木,319,24584,1.3%
群馬,502,16368,3.1%
埼玉,4172,120926,3.5%
千葉,3281,61286,5.4%
東京,22168,366455,6.0%
神奈川,5629,125835,4.5%
新潟,147,13570,1.1%
富山,409,10458,3.9%
石川,718,10000,7.2%
福井,244,9044,2.7%
山梨,178,9890,1.8%
長野,293,16712,1.8%
岐阜,568,19278,2.9%
静岡,499,28146,1.8%
愛知,4730,60130,7.9%
三重,443,10854,4.1%
滋賀,466,10221,4.6%
京都,1594,34873,4.6%
大阪,9232,151066,6.1%
兵庫,2378,48018,5.0%
奈良,540,17993,3.0%
和歌山,235,8839,2.7%
鳥取,22,4601,0.5%
島根,137,5032,2.7%
岡山,146,7049,2.1%
広島,464,18484,2.5%
山口,189,7510,2.5%
徳島,146,6460,2.3%
香川,86,9006,1.0%
愛媛,114,3900,2.9%
高知,134,3255,4.1%
福岡,4845,43331,11.2%
佐賀,242,5358,4.5%
長崎,234,15876,1.5%
熊本,554,12477,4.4%
大分,158,13974,1.1%
宮崎,339,8251,4.1%
鹿児島,371,16872,2.2%
沖縄,2244,30027,7.5%
長崎船,149,0,-
合計,72381,1480613,4.9%
