都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,32591,617796,6180,46,25370,973
青森,2099,40049,310,5,1762,27
岩手,1300,67254,199,1,1059,42
宮城,8669,133219,305,9,8261,81
秋田,727,12837,127,0,589,11
山形,1798,54886,203,5,1558,37
福島,4366,220336,495,23,3738,133
茨城,9246,31855,572,13,8535,139
栃木,5983,233552,347,9,5562,74
群馬,7431,157238,645,16,6664,122
埼玉,42296,837287,2504,50,39022,770
千葉,35949,585099,1290,24,34000,659
東京,154999,2194464,6453,69,146549,1997
神奈川,58895,886513,2350,59,55684,861
新潟,2950,130685,385,6,2531,34
富山,1613,58852,221,6,1358,34
石川,3356,80900,541,11,2715,98
福井,1008,56662,59,1,915,34
山梨,1433,38972,118,1,1297,19
長野,4500,167266,354,7,4126,76
岐阜,8048,221529,1120,19,6780,148
静岡,7687,332744,814,8,6742,131
愛知,42286,641266,6135,79,35460,691
三重,4617,109813,547,11,4085,99
滋賀,4687,120656,547,7,4066,74
京都,15019,242079,1486,23,13404,199
大阪,96643,1689347,13770,372,79866,2068
兵庫,38158,434411,3531,95,33593,1055
奈良,7635,145216,725,23,6810,100
和歌山,2527,38646,160,38,2292,36
鳥取,442,69791,49,0,385,2
島根,482,24335,85,3,397,0
岡山,6631,108427,1308,26,4071,73
広島,9010,380013,860,16,6754,116
山口,2609,98010,548,10,2006,55
徳島,1599,52098,130,3,1411,58
香川,1884,72497,353,3,1512,24
愛媛,2648,74637,136,4,2444,68
高知,1198,8786,80,2,1098,20
福岡,31766,703974,5988,83,24980,404
佐賀,2342,46250,296,8,2009,17
長崎,2803,106687,397,16,2350,57
熊本,5685,74682,879,22,4717,89
大分,3055,136053,615,5,2403,37
宮崎,2924,38670,354,7,2535,25
鹿児島,3025,95056,410,3,2576,28
沖縄,14487,207045,1740,47,12606,147
(その他),149,-,0,-,149,-
合計,701255,12878440,66721,1294,618796,12042
