都道府県名,陽性者数 検査人数,,%
北海道,29911,591839,5.1%
青森,1942,37919,5.1%
岩手,1206,65259,1.8%
宮城,8522,129574,6.6%
秋田,684,12270,5.6%
山形,1702,51920,3.3%
福島,4214,209746,2.0%
茨城,8946,31283,28.6%
栃木,5825,228339,2.6%
群馬,7152,150903,4.7%
埼玉,41340,815942,5.1%
千葉,35351,579116,6.1%
東京,151697,2145347,7.1%
神奈川,57577,861075,6.7%
新潟,2815,124049,2.3%
富山,1490,55720,2.7%
石川,3174,78080,4.1%
福井,987,54647,1.8%
山梨,1376,38972,3.5%
長野,4311,159648,2.7%
岐阜,7469,212236,3.5%
静岡,7337,319923,2.3%
愛知,39606,609769,6.5%
三重,4424,109813,4.0%
滋賀,4472,114770,3.9%
京都,14232,232724,6.1%
大阪,94155,1628614,5.8%
兵庫,36985,420696,8.8%
奈良,7360,138260,5.3%
和歌山,2471,36939,6.7%
鳥取,429,67810,0.6%
島根,424,21314,2.0%
岡山,5965,108427,5.5%
広島,7946,321772,2.5%
山口,2386,92132,2.6%
徳島,1558,50212,3.1%
香川,1790,69704,2.6%
愛媛,2612,73971,3.5%
高知,1148,8676,13.2%
福岡,29737,675139,4.4%
佐賀,2199,44465,4.9%
長崎,2712,102842,2.6%
熊本,5116,71804,7.1%
大分,2830,130041,2.2%
宮崎,2764,36174,7.6%
鹿児島,2842,92020,3.1%
沖縄,13781,202299,6.8%
長崎船,149,0,-
合計,675121,12414194,5.4%
