都道府県名,陽性者数 検査人数,,%
北海道,19734,405021,4.9%
青森,836,21091,4.0%
岩手,557,29018,1.9%
宮城,3905,73410,5.3%
秋田,269,7148,3.8%
山形,553,28850,1.9%
福島,2160,123507,1.7%
茨城,6107,25144,24.3%
栃木,4224,153859,2.7%
群馬,4644,100448,4.6%
埼玉,30489,584007,5.2%
千葉,27619,435957,6.3%
東京,114536,1614370,7.1%
神奈川,46082,631458,7.3%
新潟,1162,46600,2.5%
富山,909,38262,2.4%
石川,1879,54661,3.4%
福井,546,33169,1.6%
山梨,941,27101,3.5%
長野,2389,103901,2.3%
岐阜,4786,144898,3.3%
静岡,5356,215542,2.5%
愛知,26251,416874,6.3%
三重,2587,67122,3.9%
滋賀,2625,77870,3.4%
京都,9156,162881,5.6%
大阪,47983,861806,5.6%
兵庫,18276,264340,6.9%
奈良,3432,86795,4.0%
和歌山,1171,24948,4.7%
鳥取,210,43293,0.5%
島根,284,16183,1.8%
岡山,2563,69524,3.7%
広島,5057,169055,3.0%
山口,1389,62904,2.2%
徳島,462,28102,1.6%
香川,767,46770,1.6%
愛媛,1070,34034,3.1%
高知,906,7180,12.6%
福岡,18357,466712,3.9%
佐賀,1130,29419,3.8%
長崎,1613,70910,2.3%
熊本,3467,57235,6.1%
大分,1297,84625,1.5%
宮崎,1953,24803,7.9%
鹿児島,1762,69332,2.5%
沖縄,8407,151701,5.5%
長崎船,149,0,-
合計,442007,8291840,5.3%
