都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1239,20523,86,6,1054,99
青   森,27,974,0,0,26,1
岩    手,0,929,0,0,0,0
宮    城,94,3698,5,0,88,1
秋  田,16,992,0,0,16,0
山    形,69,2538,1,1,68,0
福    島,82,6649,2,0,80,0
茨    城,174,5278,5,0,159,10
栃    木,76,7018,10,0,65,0
群    馬,152,4934,2,0,131,19
埼    玉,1122,33985,103,3,954,65
千    葉,949,18047,36,2,868,45
東    京,6171,80514,451,12,5395,325
神 奈 川,1471,12480,69,11,1306,96
新    潟,84,4913,1,0,82,0
富    山,227,3914,0,0,205,22
石    川,300,2904,17,1,256,27
福    井,122,3372,0,0,114,8
山    梨,74,5606,2,0,71,1
長    野,77,3264,1,0,76,-
岐    阜,156,5131,3,1,146,7
静    岡,81,7448,3,0,77,1
愛    知,523,12620,6,0,477,34
三    重,46,2856,1,0,44,1
滋    賀,101,2345,1,0,99,1
京    都,375,10074,12,0,345,18
大    阪,1816,39970,25,3,1705,86
兵    庫,705,14695,8,0,654,43
奈    良,92,3760,0,0,90,2
和 歌 山,64,3979,1,0,60,3
鳥    取,3,1478,0,0,3,0
島    根,24,1240,0,0,23,0
岡    山,26,1926,1,-,25,-
広    島,168,7802,0,0,165,3
山    口,37,2267,0,0,37,0
徳    島,6,900,0,0,4,1
香    川,28,2649,0,0,28,0
愛    媛,82,2605,1,0,77,4
高    知,74,1971,0,0,71,3
福    岡,845,16383,13,2,799,33
佐    賀,47,1618,0,0,47,0
長    崎,17,3199,0,0,16,1
熊    本,49,4273,1,0,45,3
大    分,60,4834,0,0,59,1
宮    崎,17,1562,0,0,17,0
鹿 児 島,11,2563,1,0,10,0
沖    縄,142,3016,0,0,139,7
(その他),149,-,1,-,148,-
合計,18270,385696,869,42,16424,971
